analysis,model,model_label,calibration_budget,interval_level,beta_false_safe_cons_median,beta_false_safe_cons_p05,beta_false_safe_cons_p95,p_false_safe_median,p_false_safe_p05,p_false_safe_p95,p_false_unsafe_median,p_false_unsafe_p05,p_false_unsafe_p95,rmse_log_median,rmse_log_p05,rmse_log_p95,q_value_log_median,q_value_log_p05,q_value_log_p95,replicate_count,gate
calibration-label budget,lgbm_direct,LGBM direct,50,0.9,2.537524690793996,2.2350781479582773,3.078088072842176,0.0026041666666666665,0.0005208333333333333,0.006046195652173913,0.019774682971014493,0.012879302536231884,0.035190217391304346,0.16733515480769112,0.16248866780339752,0.1820493456208876,0.17499098308349234,0.135802175490492,0.23719606542715357,240,Pass
calibration-label budget,lgbm_direct,LGBM direct,100,0.9,2.5339906549195503,2.259224909603639,2.8277595484479914,0.0029211956521739127,0.0010416666666666667,0.005675101902173907,0.01990489130434783,0.012879302536231884,0.03303894927536232,0.16733515480769112,0.16248866780339752,0.1820493456208876,0.17352923804539339,0.14594220914536107,0.2078198637633008,240,Pass
calibration-label budget,lgbm_direct,LGBM direct,250,0.9,2.477541853515251,2.243215630867067,2.7009331934711063,0.0028928894927536227,0.0013275588768115942,0.005811820652173913,0.019774682971014493,0.014420572916666666,0.02634595788043478,0.16733515480769112,0.16276509356979454,0.18117041191159533,0.1725081230604357,0.1523481049283926,0.19573604625206012,10,Fail
calibration-label budget,ridge_direct,Ridge direct,50,0.9,2.645701413211112,2.5858232276052693,5.9978070150076865,0.0016191123188405796,0.0,0.002139945652173913,0.1278928894927536,0.061627887228260875,0.1593772644927536,0.5013814958309445,0.3389990204409499,0.5374462398674779,0.3069438932346207,0.24158316881278558,0.40422106244524425,240,Pass
calibration-label budget,ridge_direct,Ridge direct,100,0.9,2.645701413211112,2.595175711112512,3.1628179656212856,0.0016191123188405796,0.00026041666666666666,0.002139945652173913,0.12693614130434783,0.060722939311594205,0.14887907608695652,0.5013814958309445,0.3389990204409499,0.5374462398674779,0.30030026070044413,0.24240486877825607,0.3616411757097917,240,Pass
calibration-label budget,ridge_direct,Ridge direct,250,0.9,2.645701413211112,2.645701413211112,2.739555769198051,0.0016191123188405796,0.0011998980978260869,0.0018795289855072462,0.12629359148550723,0.07196699501811593,0.1444033061594203,0.5013814958309445,0.36497026840759933,0.5309527637140219,0.2978981351468048,0.2667631516762358,0.32966492741739684,10,Pass
calibration-label budget,scratch_mlp,MLP scratch,50,0.9,2.0976338780909227,2.089762392158496,2.1639426646500115,0.005989583333333334,0.005078125,0.006850090579710145,0.05431951992753624,0.03526239809782609,0.07506227355072465,0.8370995078048313,0.5705547223593621,1.3206490500700836,0.32492714346074236,0.2569235057409373,0.4162220443476157,240,Fail
calibration-label budget,scratch_mlp,MLP scratch,100,0.9,2.0976338780909227,2.090010596600207,2.1639426646500115,0.005989583333333334,0.005078125,0.006850090579710145,0.053153306159420294,0.0361721580615942,0.06750452898550724,0.8370995078048313,0.5705547223593621,1.3206490500700836,0.3209247021960961,0.2630007056127087,0.3665161139093933,240,Fail
calibration-label budget,scratch_mlp,MLP scratch,250,0.9,2.0976338780909227,2.0908061589819864,2.1341037106984215,0.006054687500000001,0.00548828125,0.006674309329710144,0.05410439311594203,0.03721807065217392,0.06110733695652174,0.8370995078048313,0.6107650904572485,1.2798948334381044,0.318118968218561,0.2862251964902634,0.33683043003295193,10,Fail
calibration-label budget,xgb_direct,XGB direct,50,0.9,2.349287528678281,2.1490430566343637,2.6600674686174592,0.004483695652173913,0.0015625,0.007348278985507246,0.01682518115942029,0.011990489130434783,0.02533401268115942,0.16735931133071602,0.16108675093986333,0.19443567598733552,0.1634974813476074,0.12062631076061302,0.2142981979187026,240,Fail
calibration-label budget,xgb_direct,XGB direct,100,0.9,2.3222079099302233,2.1487545425414467,2.6176341922827713,0.004483695652173913,0.0022070312500000002,0.007087862318840579,0.01682518115942029,0.011966995018115942,0.02185575181159419,0.16735931133071602,0.16108675093986333,0.19443567598733552,0.1602207296380329,0.12428331471976123,0.1902760181536211,240,Fail
calibration-label budget,xgb_direct,XGB direct,250,0.9,2.327878965649286,2.1726233585149695,2.5385915870893596,0.004288383152173913,0.0023893229166666668,0.006853487318840579,0.01699501811594203,0.01240319293478261,0.02025815217391304,0.16735931133071602,0.16214537484217845,0.1871237966441177,0.16110163652653606,0.13607732110277102,0.17967637921079366,10,Fail
