protocol,model,model_label,threshold_idr,true_exceed_rate,false_safe_rate,conditional_miss_eventequal,conditional_miss_pooled,conditional_miss_event_mean,n_unsafe_rows,n_events_with_unsafe
main event-held-out,pretrained_finetune,MLP finetune,0.005,0.1084360951548451,0.003588414933281,0.0330924396360529,0.03114406779661017,0.04444820384294069,4720,6
main event-held-out,rf_direct,RF direct,0.005,0.1084360951548451,0.0020957167832167,0.019326745215456607,0.022245762711864406,0.030349780701754384,4720,6
main event-held-out,ridge_direct,Ridge direct,0.005,0.1084360951548451,0.0033940111228057,0.031299643517770565,0.03411016949152542,0.10948924394319132,4720,6
main event-held-out,scratch_mlp,MLP scratch,0.005,0.1084360951548451,0.0007183850375814,0.006624962255931081,0.006567796610169491,0.033798506683375105,4720,6
main event-held-out,xgb_direct,XGB direct,0.005,0.1084360951548451,0.0022734557109557,0.0209658574269872,0.02457627118644068,0.05140350877192982,4720,6
main event-held-out,hgb_direct,HGB direct,0.0075,0.0610615574901289,0.0032174075924075,0.05269121399216881,0.059848484848484845,0.10696969696969698,2640,5
main event-held-out,lgbm_direct,LGBM direct,0.0075,0.0610615574901289,0.0025325715950715,0.04147571236585164,0.04696969696969697,0.08227272727272728,2640,5
main event-held-out,pretrained_finetune,MLP finetune,0.0075,0.0610615574901289,0.0043287813377099,0.07089208850281428,0.061742424242424244,0.0830011655011655,2640,5
main event-held-out,rf_direct,RF direct,0.0075,0.0610615574901289,0.0050451185719042,0.08262348324016767,0.09545454545454546,0.16322552447552446,2640,5
main event-held-out,ridge_direct,Ridge direct,0.0075,0.0610615574901289,0.0025276806526806,0.04139561381298242,0.0428030303030303,0.07363636363636364,2640,5
main event-held-out,scratch_mlp,MLP scratch,0.0075,0.0610615574901289,0.0012568383996955,0.020583136941744046,0.02234848484848485,0.032424242424242425,2640,5
main event-held-out,xgb_direct,XGB direct,0.0075,0.0610615574901289,0.0036947427572427,0.06050849190736717,0.0696969696969697,0.11859848484848486,2640,5
main event-held-out,hgb_direct,HGB direct,0.01,0.0337109319252176,0.0021866674991674,0.064865234340545,0.06710526315789474,0.10128571428571428,1520,5
main event-held-out,lgbm_direct,LGBM direct,0.01,0.0337109319252176,0.0021486846486846,0.06373851228589938,0.06315789473684211,0.096,1520,5
main event-held-out,pretrained_finetune,MLP finetune,0.01,0.0337109319252176,0.0027536005661005,0.08168271859730634,0.07828947368421052,0.12428571428571429,1520,5
main event-held-out,rf_direct,RF direct,0.01,0.0337109319252176,0.0030685088720803,0.09102414845389929,0.1006578947368421,0.15033333333333332,1520,5
main event-held-out,ridge_direct,Ridge direct,0.01,0.0337109319252176,0.0019407675657675,0.05757086662785792,0.05592105263157895,0.09428571428571428,1520,5
main event-held-out,scratch_mlp,MLP scratch,0.01,0.0337109319252176,0.001455241187384,0.043168227761018994,0.04671052631578947,0.06585714285714285,1520,5
main event-held-out,xgb_direct,XGB direct,0.01,0.0337109319252176,0.0031387511298225,0.09310781252756006,0.09802631578947368,0.14054545454545456,1520,5
main event-held-out,hgb_direct,HGB direct,0.015,0.0099987809809238,0.0014071939964797,0.140736555702582,0.1574468085106383,0.26244755244755247,470,5
main event-held-out,lgbm_direct,LGBM direct,0.015,0.0099987809809238,0.0009572124304267,0.09573291306739494,0.10638297872340426,0.14748251748251748,470,5
main event-held-out,pretrained_finetune,MLP finetune,0.015,0.0099987809809238,0.0008540417915417,0.08541459135579485,0.08936170212765958,0.14818181818181816,470,5
main event-held-out,rf_direct,RF direct,0.015,0.0099987809809238,0.0021291357452071,0.2129395322558997,0.23617021276595745,0.3312587412587412,470,5
