model,rep,lambda_log10,alpha_target_rowlevel,test_false_safe_rowlevel,test_false_safe_eventequal,test_false_unsafe_rowlevel,cal_unsafe_rows
lgbm_direct,0,0.007292637156348203,0.006209665325776159,0.022727272727272728,0.010529891304347826,0.008021390374331552,62
lgbm_direct,1,-0.003177726052847163,0.006209665325776159,0.022727272727272728,0.010529891304347826,0.008021390374331552,75
lgbm_direct,2,0.06416163977578382,0.006209665325776159,0.016042780748663103,0.00708786231884058,0.009358288770053475,71
lgbm_direct,3,-0.018217712341214387,0.006209665325776159,0.0213903743315508,0.009171195652173912,0.008021390374331552,59
lgbm_direct,4,0.04056862303405806,0.006209665325776159,0.01871657754010695,0.008967391304347826,0.008021390374331552,73
lgbm_direct,5,0.030075354963619017,0.006209665325776159,0.01771390374331551,0.008576766304347826,0.008021390374331552,70
lgbm_direct,6,-0.0045754623054288235,0.006209665325776159,0.0213903743315508,0.010009057971014493,0.008021390374331552,70
lgbm_direct,7,0.05479791891352015,0.006209665325776159,0.016711229946524065,0.008186141304347826,0.009358288770053475,72
lgbm_direct,8,-0.05427080544471963,0.006209665325776159,0.022727272727272728,0.010529891304347826,0.0053475935828877,79
lgbm_direct,9,0.08439971355584053,0.006209665325776159,0.012032085561497326,0.00552536231884058,0.009358288770053475,83
ridge_direct,0,0.08227616986181818,0.006209665325776159,0.008689839572192513,0.005061141304347826,0.16644385026737968,62
ridge_direct,1,0.1807344611165389,0.006209665325776159,0.004679144385026738,0.002660778985507246,0.2232620320855615,75
ridge_direct,2,0.08984590776149215,0.006209665325776159,0.00768716577540107,0.004251585144927536,0.16844919786096257,71
ridge_direct,3,0.0879847139953922,0.006209665325776159,0.00768716577540107,0.004042119565217391,0.18649732620320855,59
ridge_direct,4,0.202123709858113,0.006209665325776159,0.004010695187165776,0.0024003623188405794,0.21691176470588236,73
ridge_direct,5,0.12304545658995503,0.006209665325776159,0.006016042780748663,0.0031816123188405797,0.23863636363636365,70
ridge_direct,6,0.07411009535433122,0.006209665325776159,0.008355614973262033,0.004721467391304348,0.10528074866310161,70
ridge_direct,7,0.2639564116819022,0.006209665325776159,0.002005347593582888,0.0016191123188405796,0.31684491978609625,72
ridge_direct,8,0.04560565937140382,0.006209665325776159,0.008689839572192513,0.005061141304347826,0.11764705882352941,79
ridge_direct,9,0.13733383622752138,0.006209665325776159,0.006016042780748663,0.0031816123188405797,0.1981951871657754,83
scratch_mlp,0,0.08621857738766092,0.006209665325776159,0.01804812834224599,0.00745018115942029,0.021056149732620322,62
scratch_mlp,1,0.16382493795723674,0.006209665325776159,0.019050802139037433,0.00784080615942029,0.017379679144385027,75
scratch_mlp,2,0.13706749686158304,0.006209665325776159,0.019050802139037433,0.00825973731884058,0.019385026737967916,71
scratch_mlp,3,-0.01808466495833483,0.006209665325776159,0.01871657754010695,0.008129528985507246,0.010026737967914439,59
scratch_mlp,4,0.08232021399886813,0.006209665325776159,0.019719251336898395,0.008520153985507248,0.0106951871657754,73
scratch_mlp,5,0.05920646610420288,0.006209665325776159,0.023061497326203207,0.011288496376811594,0.0106951871657754,70
scratch_mlp,6,0.092102168736242,0.006209665325776159,0.021056149732620322,0.00945991847826087,0.01036096256684492,70
scratch_mlp,7,1.3394514856704611,0.006209665325776159,0.011697860962566845,0.004557291666666667,0.5915775401069518,72
scratch_mlp,8,0.1161203566187341,0.006209665325776159,0.019719251336898395,0.008729619565217391,0.011363636363636364,79
scratch_mlp,9,0.08560708765675207,0.006209665325776159,0.019385026737967916,0.008389945652173913,0.014037433155080214,83
xgb_direct,0,0.0,0.006209665325776159,0.020053475935828877,0.00948822463768116,0.008021390374331552,62
xgb_direct,1,0.0,0.006209665325776159,0.017379679144385027,0.008446557971014493,0.008021390374331552,75
xgb_direct,2,0.05722784996032715,0.006209665325776159,0.013368983957219251,0.006046195652173913,0.0106951871657754,71
xgb_direct,3,0.002216339111328125,0.006209665325776159,0.0213903743315508,0.009171195652173912,0.008021390374331552,59
xgb_direct,4,0.05563497543334961,0.006209665325776159,0.014705882352941176,0.006567028985507247,0.009358288770053475,73
xgb_direct,5,0.052727460861206055,0.006209665325776159,0.01871657754010695,0.008129528985507246,0.0106951871657754,70
xgb_direct,6,0.0,0.006209665325776159,0.014705882352941176,0.007404891304347826,0.008021390374331552,70
xgb_direct,7,0.0687413215637207,0.006209665325776159,0.014705882352941176,0.006567028985507247,0.0106951871657754,72
xgb_direct,8,-0.0239061117172239,0.006209665325776159,0.017379679144385027,0.008446557971014493,0.0066844919786096255,79
xgb_direct,9,0.02362799644470215,0.006209665325776159,0.020053475935828877,0.00948822463768116,0.008021390374331552,83
