model,N,conditional_miss_median,conditional_miss_p05,conditional_miss_p95,unsafe_rows_median
lgbm_direct,50,0.0,0.0,1.0,92.0
lgbm_direct,100,0.014492753623188406,0.0,0.12624223602484458,92.0
lgbm_direct,250,0.1503910743041178,0.043478260869565216,0.33934034966643656,92.0
lgbm_direct,500,0.14262709914883828,0.042805383022774326,0.28543823326432016,92.0
lgbm_direct,1000,0.23119392684610074,0.09834368530020704,0.454623878536922,92.0
lgbm_direct,2000,0.34069473199907985,0.2477800782148608,0.4038187255578559,92.0
ridge_direct,50,0.009575569358178054,0.0,0.10641534391534381,92.0
ridge_direct,100,0.017857142857142856,0.0,0.16058201058201055,92.0
ridge_direct,250,0.06679894179894179,0.010714285714285714,0.13670634920634914,92.0
ridge_direct,500,0.08465608465608465,0.019047619047619046,0.08465608465608465,92.0
ridge_direct,1000,0.08465608465608465,0.06428571428571428,0.10502645502645498,92.0
ridge_direct,2000,0.08465608465608465,0.06428571428571428,0.08465608465608465,92.0
scratch_mlp,50,0.3452380952380953,0.3333333333333333,0.3863756613756614,92.0
scratch_mlp,100,0.34854497354497355,0.3333333333333333,0.5568783068783068,92.0
scratch_mlp,250,0.3578042328042328,0.3386904761904762,0.4931878306878307,92.0
scratch_mlp,500,0.35185185185185186,0.3351449275362319,0.3976190476190476,92.0
scratch_mlp,1000,0.37896825396825395,0.3470238095238095,0.4158068783068783,92.0
scratch_mlp,2000,0.3703703703703704,0.3333333333333333,0.4791005291005291,92.0
xgb_direct,50,0.22026685070163327,0.03260869565217391,0.7273809523809524,92.0
xgb_direct,100,0.22777202668507016,0.017236024844720498,0.683068783068783,92.0
xgb_direct,250,0.23349436392914652,0.0967391304347826,0.5561536691971473,92.0
xgb_direct,500,0.30883367839889575,0.164423740510697,0.35842535081665516,92.0
xgb_direct,1000,0.31815044858523117,0.17740970784449045,0.41794916034046464,92.0
xgb_direct,2000,0.3632390154129284,0.2507591442374051,0.5229813664596271,92.0
