model,lambda_median,test_fs_rowlevel_median,test_fs_eventequal_median,test_fu_rowlevel_median,violation_fraction,reps
lgbm_direct,0.01868399605998361,0.020053475935828874,0.00906929347826087,0.008021390374331552,1.0,10
ridge_direct,0.10644568217572359,0.006851604278074866,0.0036118659420289858,0.19234625668449196,0.5,10
scratch_mlp,0.08916037306195146,0.019217914438502674,0.008324841485507247,0.01270053475935829,1.0,10
xgb_direct,0.012922167778015137,0.017379679144385027,0.00828804347826087,0.008021390374331552,1.0,10
