model,rmse,beta,pfu,cond,pop_pass,pass8,assess8,agree8
lgbm_direct,22.137822850370515,2.184711235590689,0.07560533243960206,0.07854838709677418,0.0,0.024444444444444446,1.0,0.9755555555555556
ridge_direct,22.895048862936047,1.999252630257079,0.04862921901724011,0.12387096774193548,0.0,0.008888888888888889,1.0,0.9911111111111112
scratch_mlp,22.0932929884597,2.100454011535296,0.06206567830172629,0.09612903225806452,0.0,0.01888888888888889,1.0,0.9811111111111112
xgb_direct,21.939236369893756,2.2107312581298877,0.07992956512828163,0.0732258064516129,0.0,0.03777777777777778,1.0,0.9622222222222222
