model,rep,rmse_rul,q_cycles,pop_beta_point,pop_p_fs,pop_p_fu,pop_cond_miss,pop_guarded_pass,draw_pass_fraction,draw_assessable,draw_agreement
ridge_direct,0,22.83317081318526,32.33693339244638,2.0751587349407514,0.018985912829250582,0.04862921901724011,0.10258064516129033,False,0.01,1.0,0.99
ridge_direct,1,23.17274612752846,32.93650854687378,1.9909170465306956,0.023245003901267568,0.05079363473625856,0.12612903225806452,False,0.013333333333333334,1.0,0.9866666666666667
ridge_direct,2,22.895048862936047,31.096127009230486,1.999252630257079,0.02279051333148996,0.043630646378904146,0.12387096774193548,False,0.0033333333333333335,1.0,0.9966666666666667
lgbm_direct,0,22.049006548671038,31.477100407025958,2.237322343024147,0.012632639973634658,0.0791351239782647,0.06887096774193548,False,0.04,1.0,0.96
lgbm_direct,1,22.206930511435022,31.676998148422413,2.184711235590689,0.01445501292945163,0.07560533243960206,0.07854838709677418,False,0.013333333333333334,1.0,0.9866666666666667
lgbm_direct,2,22.137822850370515,30.593510040414202,2.1675823983207976,0.015095237086721064,0.06780346911226535,0.0814516129032258,False,0.02,1.0,0.98
xgb_direct,0,21.939236369893756,32.56452178955078,2.2775508681527223,0.01137667530986672,0.08428367188765094,0.0614516129032258,False,0.06666666666666667,1.0,0.9333333333333333
xgb_direct,1,22.106786587201146,31.637962341308594,2.2107312581298877,0.013527226298211579,0.07992956512828163,0.0732258064516129,False,0.023333333333333334,1.0,0.9766666666666667
xgb_direct,2,21.879613088231057,29.971664428710938,2.174955726417716,0.014816717143281331,0.06890858765009074,0.08064516129032258,False,0.023333333333333334,1.0,0.9766666666666667
scratch_mlp,0,21.93083475950596,28.463014193685666,2.074998039756059,0.01899335822351184,0.06063044097664236,0.10338709677419354,False,0.01,1.0,0.99
scratch_mlp,1,23.22657768461056,35.10570885819938,2.129589186170047,0.016602772306782417,0.07959084169562392,0.08983870967741936,False,0.03333333333333333,1.0,0.9666666666666667
scratch_mlp,2,22.0932929884597,29.604758964710825,2.100454011535296,0.017844461020031267,0.06206567830172629,0.09612903225806452,False,0.013333333333333334,1.0,0.9866666666666667
