family,N,model,model_label,reps,rmse_log_mean,rmse_log_sd,mae_log_mean,coverage_mean,coverage_sd,coverage_gap_mean,conditional_coverage_above_1pct_mean,q_value_log_mean,calib_abs_mean,calib_abs_p90,test_abs_mean,test_abs_p90,alpha_mean_abs_mean,alpha_mean_abs_sd,alpha_std_abs_mean,alpha_p90_abs_mean,coverage_implied_alpha_mean,q_to_test_p90_mean,q_to_test_p95_mean,w1_abs_residual_mean,coverage_mean_scaled_mean,coverage_p90_scaled_mean,coverage_gap_mean_scaled_mean,coverage_gap_p90_scaled_mean
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,50,lgbm_direct,LGBM direct,10,0.47617984865505497,0.02229227335479156,0.3729438007189433,0.8893716577540107,0.0659841338493313,-0.01062834224598933,0.5402173913043479,0.8252630253859545,0.3976238834911406,0.7085631233350701,0.3729438007189433,0.8270183805433555,0.9694123663661418,0.18209055101525476,1.1661014734679545,1.215646883543445,1.021927259895201,0.9960091869946919,0.8594045615408259,0.08618066823217864,0.8770053475935828,0.9506684491978609,-0.022994652406417137,0.05066844919786094
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,50,xgb_direct,XGB direct,10,0.31194485228192675,0.07001133875214742,0.2570643991872178,0.7588903743315508,0.10237391547237688,-0.14110962566844923,0.5793478260869566,0.38789082510080924,0.17098806809403572,0.3158080776990705,0.2570643991872178,0.5050617738190641,1.5317465051665842,0.38517641864820035,1.4948012381179345,1.6442547035799744,1.4207029009682328,0.7778098733026324,0.6799290057734705,0.09051552825896876,0.9436497326203209,0.9612299465240642,0.04364973262032083,0.06122994652406415
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,50,ridge_direct,Ridge direct,10,0.5871288115167785,0.17409716084093352,0.467017800677583,0.5983622994652407,0.17767187780488045,-0.30163770053475936,0.55,0.4607169595664031,0.20017293661401586,0.3981236049089859,0.467017800677583,0.9503905746352228,2.3413632417692996,0.6524509199288702,2.4654194031522803,2.4286060427853577,2.1895932741176773,0.5247127832972619,0.4302594485450572,0.26764904200929723,0.9244318181818182,0.938870320855615,0.024431818181818166,0.03887032085561495
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,50,scratch_mlp,MLP scratch,10,1.9851637377948923,0.5970495820092021,1.4236243635079817,0.5294117647058824,0.10106289688355549,-0.37058823529411766,0.4728260869565217,0.949990674655808,0.38208569920971514,0.7066869351903318,1.4236243635079817,3.5341122068371873,3.9184422833836314,1.443479760922465,4.574139381775336,5.1411862098912575,2.362523857212003,0.29138410386415503,0.23158796533449344,1.042284480811745,0.8925133689839573,0.9533756684491979,-0.0074866310160428,0.05337566844919783
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,100,lgbm_direct,LGBM direct,10,0.273644402035994,0.029725149534265645,0.21759801854904232,0.8710895721925134,0.039602457498282576,-0.02891042780748666,0.7945652173913043,0.41261362576409366,0.18032852208145858,0.39451321199782485,0.21759801854904232,0.44575828980276383,1.2147796052168034,0.1313544290558641,1.148007430593783,1.1300688385617892,1.0813906327617377,0.932927516082325,0.7895649819925707,0.04120495070652365,0.9337901069518717,0.9156751336898395,0.033790106951871644,0.015675133689839527
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,100,xgb_direct,XGB direct,10,0.2339274564003889,0.029991055263996463,0.19047855503633193,0.7730949197860963,0.09510234222089142,-0.12690508021390373,0.49565217391304345,0.29468502251130263,0.13198279575256852,0.27914826358351696,0.19047855503633193,0.3825957288499173,1.4591540935113063,0.1974477078069835,1.2813601974684492,1.399535946790302,1.3795032979329807,0.7723542747785133,0.6652078382303609,0.05926903660530806,0.9328877005347593,0.9177139037433155,0.03288770053475933,0.017713903743315475
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,100,ridge_direct,Ridge direct,10,0.5230165473735129,0.24029112966888505,0.4045553676322092,0.5903409090909091,0.1814747618773718,-0.30965909090909094,0.6380434782608695,0.377780363744492,0.1847516315336236,0.3411396786787618,0.4045553676322092,0.8576404463407373,2.199022484108037,0.8925752303566198,1.926108757374628,2.538318397405325,2.176016368796443,0.5309036360793418,0.44060851839713744,0.2295136616067072,0.8939171122994652,0.9248663101604278,-0.006082887700534767,0.024866310160427785
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,100,scratch_mlp,MLP scratch,10,1.6554383988901908,0.5921791015623902,1.1822343278717404,0.46875,0.07139227457408558,-0.43125,0.41521739130434787,0.6232818159867193,0.31576622921421105,0.5601000516098973,1.1822343278717404,2.991630167195227,4.058423514588805,1.5671671411694514,4.412303778892322,5.350679154556523,2.678312799043648,0.22903494766817928,0.18713052201910163,0.8936824909592508,0.8310828877005347,0.918850267379679,-0.06891711229946526,0.018850267379679108
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,250,lgbm_direct,LGBM direct,10,0.18794548148856255,0.01502918352229032,0.14858903522856942,0.7784090909090909,0.05159943861440114,-0.12159090909090911,0.5347826086956522,0.22710267964690223,0.10672676790829141,0.2175993892357916,0.14858903522856942,0.3068842831821489,1.4000229731498912,0.12500699007835328,1.2791308109058694,1.421597678926867,1.3494305430231919,0.7420338116722955,0.6085580967135813,0.042689418928019675,0.9063836898395723,0.9108622994652407,0.00638368983957216,0.01086229946524061
recorded_mdof_event_disjoint_target_conformal_r28_large_budget,250,xgb_direct,XGB direct,10,0.1857039315259715,0.015981979539521577,0.14974014838003533,0.7206550802139038,0.08029537603417826,-0.1793449197860963,0.41195652173913044,0.20782678864525628,0.09182578780874509,0.1980096741548477,0.14974014838003533,0.3054738732784618,1.6415645151799165,0.1932128058026605,1.3716599226978266,1.5680108713829326,1.5342812079323829,0.6841747904024741,0.579344426426659,0.058389325973985086,0.9303475935828877,0.9171791443850268,0.030347593582887654,0.017179144385026712
