system_index,gm_id,n_story,T1_s,pattern,yield_drift,alpha_post_yield,idr_dt01,idr_dt005,idr_degrade_pdelta
0,6,3,1.8,uniform,0.01,0.03,0.0010701375746732403,0.0010701376887872118,0.0012376519374711545
0,7,3,1.8,uniform,0.01,0.03,0.0007826476331525639,0.0007826476729837626,0.00106749471452011
0,8,3,1.8,uniform,0.01,0.03,0.0041673077452629905,0.004169046551962254,0.0032958292739796303
0,9,3,1.8,uniform,0.01,0.03,0.002951302013098406,0.002951440171057926,0.004086762813740542
0,10,3,1.8,uniform,0.01,0.03,0.004220308520799267,0.00422036290779946,0.0047448998466985476
0,11,3,1.8,uniform,0.01,0.03,0.002703043142962877,0.002703048776848888,0.0024296217412526962
0,12,3,1.8,uniform,0.01,0.03,0.0022403847326911176,0.002240823307336187,0.002090159739957333
0,13,3,1.8,uniform,0.01,0.03,0.0011830506890248237,0.001183272617908992,0.001130630437732793
0,14,3,1.8,uniform,0.01,0.03,0.0024714422383445966,0.002471440709675685,0.0026815276641740378
0,15,3,1.8,uniform,0.01,0.03,0.0025098055818894237,0.0025098006413029903,0.0025818266854605878
0,16,3,1.8,uniform,0.01,0.03,0.0023137286130184872,0.002313852884382456,0.0018663288705281552
0,17,3,1.8,uniform,0.01,0.03,0.0017142990568884428,0.0017146709301007655,0.0016893883583511983
0,18,3,1.8,uniform,0.01,0.03,0.00245297515541342,0.0024529863610212228,0.0025579658023448435
0,19,3,1.8,uniform,0.01,0.03,0.001991085690642859,0.001991270825117297,0.002081629629834495
0,20,3,1.8,uniform,0.01,0.03,0.0034228108106839714,0.0034228082609648915,0.004529150460686329
0,21,3,1.8,uniform,0.01,0.03,0.0018852666891900672,0.0018852699137725285,0.002151777699182414
0,22,3,1.8,uniform,0.01,0.03,0.0026894017935108084,0.002689394241364344,0.002142585257396354
0,23,3,1.8,uniform,0.01,0.03,0.0025796393930090458,0.0025796437863185137,0.0027799357971691526
0,24,3,1.8,uniform,0.01,0.03,0.0013584272282080563,0.0013584267149001595,0.00135538087309095
0,25,3,1.8,uniform,0.01,0.03,0.0022024161573496056,0.0022024192291316,0.00198622082930953
0,26,3,1.8,uniform,0.01,0.03,0.0023994895254845308,0.002399506577591956,0.0032586126202988498
0,27,3,1.8,uniform,0.01,0.03,0.0021174895358414777,0.0021177478798783795,0.003022683215761877
