gm_id,system_index,idr_dt01,idr_ref_rk45,rel_diff
667,6,0.011094380602067603,0.011094568767248467,1.6960404335563868e-05
678,7,0.012392003801626014,0.012392020344986314,1.335002842522026e-06
324,5,0.01246932159039101,0.01246887846552814,3.553720702917247e-05
324,6,0.01325376345150917,0.01325375805851503,4.069028513701903e-07
681,7,0.014153919675786083,0.01415412800708179,1.4718982478337137e-05
323,13,0.010980707997351763,0.010981031945553915,2.9501576968473196e-05
346,6,0.0018164196017287683,0.0018164180924881753,8.308876382551174e-07
29,3,0.003766855891500807,0.0037668259195936748,7.956743766069122e-06
674,10,0.0007148565097329315,0.0007148530359463804,4.859417944382272e-06
887,9,0.00013529820674232262,0.00013529788765237152,2.3584196626587863e-06
662,15,0.0003141268980817045,0.00031412651840982697,1.208657647149768e-06
670,9,0.003201074358237917,0.0032010821180709303,2.4241339452686865e-06
