model_label,family,false_safe_rate_median,false_safe_rate_q95_rep,event_q95_false_safe_rate_median,false_unsafe_rate_median,coverage_median,true_exceed_rate_median,event_count_median,beta_fs_cons_family,pass_beta_2p5
Ridge direct,3F soft-first-story T=1.8s,0.0064764492753623185,0.0064764492753623185,0.03117753623188404,0.13888134057971013,0.5134315299736496,0.03903985507246377,8.0,2.485061691569009,False
Ridge direct,3F uniform T=1.8s,0.0,0.0,0.0,0.1216598731884058,0.5507236083662714,0.024003623188405796,8.0,4.753424308822899,True
Ridge direct,6F soft-first-story T=1.8s,0.0,0.0,0.0,0.12509057971014492,0.5071959403820817,0.008333333333333333,8.0,4.753424308822899,True
Ridge direct,6F uniform T=1.8s,0.0,0.0,0.0,0.10272871376811593,0.46204607213438736,0.0,8.0,4.753424308822899,True
LGBM direct,3F soft-first-story T=1.8s,0.009601449275362318,0.011684782608695652,0.03701086956521738,0.008152173913043478,0.5548748353096179,0.03903985507246377,8.0,2.267338337207564,False
LGBM direct,3F uniform T=1.8s,0.002604166666666667,0.00625,0.013020833333333327,0.005434782608695652,0.5661252470355731,0.024003623188405796,8.0,2.4977054744123723,False
LGBM direct,6F soft-first-story T=1.8s,0.00625,0.0073958333333333315,0.02749999999999999,0.016304347826086956,0.53867444828722,0.008333333333333333,8.0,2.4374400502410225,False
LGBM direct,6F uniform T=1.8s,0.0,0.0,0.0,0.016304347826086956,0.5716526679841898,0.0,8.0,4.753424308822899,True
XGB direct,3F soft-first-story T=1.8s,0.011684782608695652,0.012830615942028983,0.03701086956521738,0.008152173913043478,0.5286489212779973,0.03903985507246377,8.0,2.2313004804079624,False
XGB direct,3F uniform T=1.8s,0.0020833333333333333,0.0073958333333333315,0.010833333333333323,0.008152173913043478,0.5392467473649538,0.024003623188405796,8.0,2.4374400502410225,False
XGB direct,6F soft-first-story T=1.8s,0.00625,0.0073958333333333315,0.02749999999999999,0.016304347826086956,0.48183465085639,0.008333333333333333,8.0,2.4374400502410225,False
XGB direct,6F uniform T=1.8s,0.0,0.0,0.0,0.016304347826086956,0.5478754940711462,0.0,8.0,4.753424308822899,True
MLP scratch,3F soft-first-story T=1.8s,0.010156249999999999,0.01392096920289855,0.050937499999999955,0.03372961956521739,0.58379034914361,0.03903985507246377,8.0,2.199506345927891,False
MLP scratch,3F uniform T=1.8s,0.008333333333333333,0.010348731884057967,0.04333333333333329,0.02971014492753623,0.6822576992753623,0.024003623188405796,8.0,2.3134581386875386,False
MLP scratch,6F soft-first-story T=1.8s,0.006510416666666667,0.007864583333333333,0.03322916666666664,0.03191802536231884,0.6136857707509882,0.008333333333333333,8.0,2.4151399068882795,False
MLP scratch,6F uniform T=1.8s,0.0,0.0,0.0,0.019904891304347826,0.6750185276679842,0.0,8.0,4.753424308822899,True
