model_label,rep,family,false_safe_rate,false_safe_rate_q95_event,false_unsafe_rate,coverage,true_exceed_rate,event_count
MLP scratch,0,3F soft-first-story T=1.8s,0.009895833333333333,0.05020833333333329,0.03894927536231883,0.5679141963109354,0.03903985507246377,8
MLP scratch,0,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.04030797101449275,0.6933917984189724,0.024003623188405796,8
MLP scratch,0,6F soft-first-story T=1.8s,0.00625,0.03249999999999997,0.03457880434782609,0.6003520256916997,0.008333333333333333,8
MLP scratch,0,6F uniform T=1.8s,0.0,0.0,0.02090126811594203,0.6843111824769433,0.0,8
MLP scratch,1,3F soft-first-story T=1.8s,0.010416666666666666,0.051666666666666625,0.03038949275362319,0.5859642621870883,0.03903985507246377,8
MLP scratch,1,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.020788043478260868,0.6685770750988143,0.024003623188405796,8
MLP scratch,1,6F soft-first-story T=1.8s,0.007291666666666667,0.035416666666666645,0.02653985507246377,0.5226696310935441,0.008333333333333333,8
MLP scratch,1,6F uniform T=1.8s,0.0,0.0,0.006793478260869565,0.6170825098814229,0.0,8
MLP scratch,2,3F soft-first-story T=1.8s,0.009375,0.04874999999999996,0.040942028985507244,0.5425683465085639,0.03903985507246377,8
MLP scratch,2,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.036345108695652176,0.6833498023715415,0.024003623188405796,8
MLP scratch,2,6F soft-first-story T=1.8s,0.00625,0.03249999999999997,0.03928894927536232,0.6204524868247694,0.008333333333333333,8
MLP scratch,2,6F uniform T=1.8s,0.0,0.0,0.0197463768115942,0.6980690052700922,0.0,8
MLP scratch,3,3F soft-first-story T=1.8s,0.009375,0.04874999999999996,0.052105978260869566,0.667090744400527,0.03903985507246377,8
MLP scratch,3,3F uniform T=1.8s,0.008333333333333333,0.04333333333333329,0.05398550724637682,0.6822978425559947,0.024003623188405796,8
MLP scratch,3,6F soft-first-story T=1.8s,0.00625,0.03249999999999997,0.04542572463768116,0.6802865612648221,0.008333333333333333,8
MLP scratch,3,6F uniform T=1.8s,0.0,0.0,0.028826992753623187,0.6730648880105402,0.0,8
MLP scratch,4,3F soft-first-story T=1.8s,0.010733695652173914,0.05255434782608692,0.037069746376811596,0.5816164361001318,0.03903985507246377,8
MLP scratch,4,3F uniform T=1.8s,0.008854166666666666,0.04479166666666663,0.027355072463768115,0.6241024374176548,0.024003623188405796,8
