protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss,beta_false_safe_cons,false_safe_ci95_hi,false_unsafe_rate_rel,eligible,fallback_workload
event-disjoint target,hgb_direct,HGB direct,0.005,1,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.0659918478260869,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.005,2,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.0668319746376811,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.005,5,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.0693523550724637,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.005,10,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.0735529891304347,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.005,25,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.0861548913043478,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.005,50,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.1071580615942029,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.005,100,8,0.0677083333333333,0.0008401268115942,0.0651517210144927,0.149164402173913,2.912766163981789,0.0017912137681159,0.0651517210144927,True,0.1320199275362318
event-disjoint target,hgb_direct,HGB direct,0.0075,1,8,0.0354959239130434,0.0012516983695652,0.034455955615942,0.0357076539855072,2.794843663109144,0.0025962409420289,0.034455955615942,True,0.0687001811594202
event-disjoint target,hgb_direct,HGB direct,0.0075,2,8,0.0354959239130434,0.0012516983695652,0.034455955615942,0.0369593523550724,2.794843663109144,0.0025962409420289,0.034455955615942,True,0.0687001811594202
event-disjoint target,hgb_direct,HGB direct,0.0075,5,8,0.0354959239130434,0.0012516983695652,0.034455955615942,0.0407144474637681,2.794843663109144,0.0025962409420289,0.034455955615942,True,0.0687001811594202
event-disjoint target,hgb_direct,HGB direct,0.0075,10,8,0.0354959239130434,0.0012516983695652,0.034455955615942,0.0469729393115942,2.794843663109144,0.0025962409420289,0.034455955615942,True,0.0687001811594202
event-disjoint target,hgb_direct,HGB direct,0.0075,25,8,0.0354959239130434,0.0012516983695652,0.034455955615942,0.0657484148550724,2.794843663109144,0.0025962409420289,0.034455955615942,True,0.0687001811594202
