q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,model,N,rep,subset
0.1639408058338665,0.16004993259314537,0.6777261404808959,0.003702445652173913,0.006623641304347825,2.4770513908386156,0.02006340579710145,0.2682309638831378,0.2391304347826087,92,3,2992,8,lgbm_direct,500,0,all
0.1639408058338665,0.16157699373710416,0.6811203063241107,0.004800724637681159,0.009601449275362318,2.34156856252129,0.015670289855072465,0.18207282913165268,0.15789473684210525,76,3,1496,8,lgbm_direct,500,0,3-story
0.1639408058338665,0.1585081604871514,0.6743319746376812,0.002604166666666667,0.005234374999999977,2.5599490832666927,0.024456521739130436,0.75,0.625,16,2,1496,8,lgbm_direct,500,0,6-story
0.1876636789386028,0.1725069378901144,0.7124166254940711,0.0006793478260869565,0.0020380434782608695,2.8722125627246866,0.02772871376811594,0.023809523809523808,0.021739130434782608,92,3,2992,8,lgbm_direct,500,1,all
0.1876636789386028,0.1658259401087462,0.7946959403820817,0.001358695652173913,0.004076086956521739,2.645701413211112,0.029959239130434783,0.023809523809523808,0.02631578947368421,76,3,1496,8,lgbm_direct,500,1,3-story
0.1876636789386028,0.17893866219321664,0.6301373106060606,0.0,0.0,5.9978070150076865,0.025498188405797102,0.0,0.0,16,2,1496,8,lgbm_direct,500,1,6-story
0.1817308549313359,0.1615251004533467,0.7662580286561265,0.0015624999999999999,0.00390625,2.6600674686174592,0.02042572463768116,0.10950080515297907,0.13043478260869565,92,3,2992,8,lgbm_direct,500,2,all
0.1817308549313359,0.161776018736365,0.7676362812911726,0.0031249999999999997,0.0078125,2.417559016236505,0.01503623188405797,0.14565826330532214,0.15789473684210525,76,3,1496,8,lgbm_direct,500,2,3-story
0.1817308549313359,0.16127379177888382,0.7648797760210804,0.0,0.0,5.9978070150076865,0.025815217391304348,0.0,0.0,16,2,1496,8,lgbm_direct,500,2,6-story
0.1821602391040557,0.17334281554570477,0.7092427330368907,0.00078125,0.0015625,2.955166847497838,0.028192934782608696,0.06602254428341385,0.06521739130434782,92,3,2992,8,lgbm_direct,500,3,all
0.1821602391040557,0.1734949961352321,0.7135581357048748,0.0010416666666666667,0.003125,2.7343687865331816,0.034646739130434784,0.0392156862745098,0.05263157894736842,76,3,1496,8,lgbm_direct,500,3,3-story
0.1821602391040557,0.17319050123681798,0.7049273303689064,0.0005208333333333333,0.0015625,2.955166847497838,0.021739130434782608,0.25,0.125,16,2,1496,8,lgbm_direct,500,3,6-story
0.1809025616511301,0.1587778063210649,0.796774641798419,0.0031249999999999997,0.008593749999999999,2.3826720148424148,0.01436820652173913,0.19645732689210949,0.2608695652173913,92,3,2992,8,lgbm_direct,500,4,all
0.1809025616511301,0.15900943368249423,0.7881206768774703,0.004166666666666667,0.0109375,2.2925313613713714,0.009193840579710144,0.18487394957983194,0.21052631578947367,76,3,1496,8,lgbm_direct,500,4,3-story
0.1809025616511301,0.1585458405642723,0.8054286067193676,0.0020833333333333333,0.00625,2.4977054744123723,0.01954257246376812,0.3333333333333333,0.5,16,2,1496,8,lgbm_direct,500,4,6-story
0.1709768935707361,0.17099197250695217,0.6931509387351779,0.0029211956521739127,0.005638586956521739,2.53399065491955,0.020635190217391304,0.1571198527720267,0.17391304347826086,92,3,2992,8,lgbm_direct,500,5,all
0.1709768935707361,0.17823246306739363,0.6928915513833992,0.005842391304347825,0.011277173913043477,2.2809002894888417,0.013734148550724638,0.19327731092436973,0.21052631578947367,76,3,1496,8,lgbm_direct,500,5,3-story
0.1709768935707361,0.16343102041095728,0.6934103260869565,0.0,0.0,5.9978070150076865,0.02753623188405797,0.0,0.0,16,2,1496,8,lgbm_direct,500,5,6-story
0.1975058090968988,0.1708259209634179,0.7638947216732543,0.0036458333333333334,0.01015625,2.3205248912297582,0.018704710144927535,0.2254428341384863,0.30434782608695654,92,3,2992,8,lgbm_direct,500,6,all
0.1975058090968988,0.16755643735968648,0.7764183959156785,0.005208333333333333,0.014062499999999999,2.19553839284704,0.015670289855072465,0.22408963585434175,0.2631578947368421,76,3,1496,8,lgbm_direct,500,6,3-story
0.1975058090968988,0.1740339933614386,0.7513710474308302,0.0020833333333333333,0.00625,2.4977054744123723,0.021739130434782608,0.3333333333333333,0.5,16,2,1496,8,lgbm_direct,500,6,6-story
0.1578989720448396,0.17236038496002318,0.682615386198946,0.0024003623188405794,0.004857336956521739,2.585823227605269,0.020974864130434784,0.12813434552564987,0.13043478260869565,92,3,2992,8,lgbm_direct,500,7,all
0.1578989720448396,0.16358693787833897,0.7291512269433464,0.004800724637681159,0.009714673913043478,2.337189212749463,0.01749320652173913,0.15406162464985992,0.15789473684210525,76,3,1496,8,lgbm_direct,500,7,3-story
0.1578989720448396,0.1807083793373269,0.6360795454545455,0.0,0.0,5.9978070150076865,0.024456521739130436,0.0,0.0,16,2,1496,8,lgbm_direct,500,7,6-story
0.1830216482188089,0.1701110839023156,0.7185554594861661,0.004166666666666667,0.01015625,2.3205248912297582,0.022146739130434783,0.2995169082125604,0.34782608695652173,92,3,2992,8,lgbm_direct,500,8,all
0.1830216482188089,0.17274033182109028,0.7028450263504611,0.005208333333333333,0.014062499999999999,2.19553839284704,0.021512681159420288,0.22408963585434175,0.2631578947368421,76,3,1496,8,lgbm_direct,500,8,3-story
0.1830216482188089,0.16744055510891304,0.7342658926218709,0.003125,0.007291666666666667,2.4425642546059603,0.022780797101449275,0.8333333333333333,0.75,16,2,1496,8,lgbm_direct,500,8,6-story
0.1723636036324625,0.16900789954371845,0.7130944293478261,0.0018795289855072462,0.004279891304347826,2.6291530539845853,0.0317481884057971,0.07660455486542443,0.08695652173913043,92,3,2992,8,lgbm_direct,500,9,all
0.1723636036324625,0.1645697404030462,0.7227396245059288,0.0037590579710144924,0.008152173913043478,2.4020305254184104,0.036322463768115945,0.0868347338935574,0.10526315789473684,76,3,1496,8,lgbm_direct,500,9,3-story
0.1723636036324625,0.17333245731839503,0.7034492341897234,0.0,0.0,5.9978070150076865,0.02717391304347826,0.0,0.0,16,2,1496,8,lgbm_direct,500,9,6-story
0.1256243677588204,0.16362907182369374,0.5794028944334652,0.00552536231884058,0.011514945652173912,2.2729384170207,0.011390398550724637,0.347135955831608,0.391304347826087,92,3,2992,8,lgbm_direct,2000,0,all
0.1256243677588204,0.1630922027558314,0.5600924324769434,0.00792572463768116,0.01630774456521739,2.1367849211627012,0.0064764492753623185,0.27170868347338933,0.3157894736842105,76,3,1496,8,lgbm_direct,2000,0,3-story
