model_label,rep,pga_bin,event_id,coverage,rows,pga_g
LGBM direct,0,low PGA,20021023_1127,0.6208333333333333,960,0.0083586211038136
LGBM direct,0,low PGA,20070226_1219,0.6833333333333333,240,0.0087740600359782
LGBM direct,0,low PGA,20080221_1416,0.625,32,0.005358397922053899
LGBM direct,0,mid PGA,20021103_2212,0.478125,960,0.011593917538798
LGBM direct,0,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
LGBM direct,0,high PGA,19990703_1,0.22916666666666666,192,0.019775061405764648
LGBM direct,0,high PGA,20091230_1848,0.6521739130434783,368,0.0850089553085301
LGBM direct,0,high PGA,20120213_2107,0.4090909090909091,176,0.0129244843177444
LGBM direct,1,low PGA,20021023_1127,0.6145833333333334,960,0.0083586211038136
LGBM direct,1,low PGA,20070226_1219,0.65,240,0.0087740600359782
LGBM direct,1,low PGA,20080221_1416,0.375,32,0.005358397922053899
LGBM direct,1,mid PGA,20021103_2212,0.4875,960,0.011593917538798
LGBM direct,1,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,1,high PGA,19990703_1,0.14583333333333334,192,0.019775061405764648
LGBM direct,1,high PGA,20091230_1848,0.6684782608695652,368,0.0850089553085301
LGBM direct,1,high PGA,20120213_2107,0.36363636363636365,176,0.0129244843177444
LGBM direct,2,low PGA,20021023_1127,0.6760416666666667,960,0.0083586211038136
LGBM direct,2,low PGA,20070226_1219,0.6833333333333333,240,0.0087740600359782
LGBM direct,2,low PGA,20080221_1416,0.25,32,0.005358397922053899
LGBM direct,2,mid PGA,20021103_2212,0.48125,960,0.011593917538798
LGBM direct,2,mid PGA,20080430_0303,0.875,64,0.0088891403885868
LGBM direct,2,high PGA,19990703_1,0.25,192,0.019775061405764648
LGBM direct,2,high PGA,20091230_1848,0.6902173913043478,368,0.0850089553085301
LGBM direct,2,high PGA,20120213_2107,0.4431818181818182,176,0.0129244843177444
LGBM direct,3,low PGA,20021023_1127,0.6395833333333333,960,0.0083586211038136
LGBM direct,3,low PGA,20070226_1219,0.675,240,0.0087740600359782
LGBM direct,3,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,3,mid PGA,20021103_2212,0.5614583333333333,960,0.011593917538798
LGBM direct,3,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
LGBM direct,3,high PGA,19990703_1,0.25,192,0.019775061405764648
LGBM direct,3,high PGA,20091230_1848,0.6847826086956522,368,0.0850089553085301
LGBM direct,3,high PGA,20120213_2107,0.5795454545454546,176,0.0129244843177444
LGBM direct,4,low PGA,20021023_1127,0.628125,960,0.0083586211038136
LGBM direct,4,low PGA,20070226_1219,0.6666666666666666,240,0.0087740600359782
LGBM direct,4,low PGA,20080221_1416,0.5,32,0.005358397922053899
LGBM direct,4,mid PGA,20021103_2212,0.44166666666666665,960,0.011593917538798
LGBM direct,4,mid PGA,20080430_0303,0.9375,64,0.0088891403885868
