protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss
event-disjoint target,lgbm_direct,LGBM direct,0.005,10,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.06790534420289854
event-disjoint target,lgbm_direct,LGBM direct,0.005,25,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.08025249094202899
event-disjoint target,lgbm_direct,LGBM direct,0.005,50,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.1008310688405797
event-disjoint target,lgbm_direct,LGBM direct,0.005,100,8,0.06770833333333334,0.000823143115942029,0.05967391304347826,0.14198822463768118
event-disjoint target,lgbm_direct,LGBM direct,0.0075,1,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.0312788722826087
event-disjoint target,lgbm_direct,LGBM direct,0.0075,2,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.032868546195652174
event-disjoint target,lgbm_direct,LGBM direct,0.0075,5,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.03763756793478261
event-disjoint target,lgbm_direct,LGBM direct,0.0075,10,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.04558593750000001
event-disjoint target,lgbm_direct,LGBM direct,0.0075,25,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.06943104619565217
event-disjoint target,lgbm_direct,LGBM direct,0.0075,50,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.10917289402173913
event-disjoint target,lgbm_direct,LGBM direct,0.0075,100,8,0.03549592391304348,0.0015896739130434783,0.02968919836956522,0.18865658967391305
event-disjoint target,lgbm_direct,LGBM direct,0.01,1,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.02331295289855072
event-disjoint target,lgbm_direct,LGBM direct,0.01,2,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.026440217391304345
event-disjoint target,lgbm_direct,LGBM direct,0.01,5,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.03582201086956521
event-disjoint target,lgbm_direct,LGBM direct,0.01,10,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.05145833333333333
event-disjoint target,lgbm_direct,LGBM direct,0.01,25,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.09836730072463767
event-disjoint target,lgbm_direct,LGBM direct,0.01,50,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.17654891304347825
event-disjoint target,lgbm_direct,LGBM direct,0.01,100,8,0.017844202898550723,0.003127264492753623,0.0201856884057971,0.3329121376811594
event-disjoint target,lgbm_direct,LGBM direct,0.015,1,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.015464221014492753
event-disjoint target,lgbm_direct,LGBM direct,0.015,2,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.016466825181159418
event-disjoint target,lgbm_direct,LGBM direct,0.015,5,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.01947463768115942
event-disjoint target,lgbm_direct,LGBM direct,0.015,10,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.024487658514492753
event-disjoint target,lgbm_direct,LGBM direct,0.015,25,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.039526721014492755
event-disjoint target,lgbm_direct,LGBM direct,0.015,50,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.06459182518115941
event-disjoint target,lgbm_direct,LGBM direct,0.015,100,8,0.0029211956521739127,0.0010026041666666668,0.014461616847826085,0.11472203351449275
event-disjoint target,lgbm_direct,LGBM direct,0.02,1,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.02,2,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.02,5,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.02,10,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.02,25,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.02,50,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.02,100,8,0.0,0.0,0.008491847826086956,0.008491847826086956
event-disjoint target,lgbm_direct,LGBM direct,0.03,1,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.03,2,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.03,5,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.03,10,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.03,25,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.03,50,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.03,100,8,0.0,0.0,0.0007133152173913043,0.0007133152173913043
event-disjoint target,lgbm_direct,LGBM direct,0.04,1,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,2,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,5,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,10,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,25,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,50,8,0.0,0.0,0.0,0.0
event-disjoint target,lgbm_direct,LGBM direct,0.04,100,8,0.0,0.0,0.0,0.0
event-disjoint target,pretrained_finetune,MLP finetune,0.005,1,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.11651664402173913
event-disjoint target,pretrained_finetune,MLP finetune,0.005,2,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.11929064764492753
event-disjoint target,pretrained_finetune,MLP finetune,0.005,5,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.12761265851449277
event-disjoint target,pretrained_finetune,MLP finetune,0.005,10,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.1414826766304348
event-disjoint target,pretrained_finetune,MLP finetune,0.005,25,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.1830927309782609
event-disjoint target,pretrained_finetune,MLP finetune,0.005,50,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.252442821557971
event-disjoint target,pretrained_finetune,MLP finetune,0.005,100,8,0.06770833333333334,0.002774003623188406,0.11374264039855071,0.39114300271739133
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,1,8,0.03549592391304348,0.004095901268115942,0.0885546875,0.09265058876811594
event-disjoint target,pretrained_finetune,MLP finetune,0.0075,2,8,0.03549592391304348,0.004095901268115942,0.0885546875,0.09674649003623188
