protocol,model,model_label,threshold_idr,cost_ratio_false_safe,event_count,true_exceed_rate,false_safe_rate,false_unsafe_rate,expected_loss
main event-held-out,xgb_direct,XGB direct,0.005,5,14,0.10843609515484516,0.002273455710955711,0.044656400147471575,0.056023678702250126
main event-held-out,lgbm_direct,LGBM direct,0.005,10,14,0.10843609515484516,0.0013258616383616385,0.052311332640573714,0.0655699490241901
main event-held-out,lgbm_direct,LGBM direct,0.005,25,14,0.10843609515484516,0.0013258616383616385,0.052311332640573714,0.08545787359961467
main event-held-out,lgbm_direct,LGBM direct,0.005,50,14,0.10843609515484516,0.0013258616383616385,0.052311332640573714,0.11860441455865565
main event-held-out,lgbm_direct,LGBM direct,0.005,100,14,0.10843609515484516,0.0013258616383616385,0.052311332640573714,0.18489749647673753
main event-held-out,xgb_direct,XGB direct,0.0075,1,14,0.06106155749012892,0.0036947427572427576,0.033003663003662996,0.03669840576090576
main event-held-out,xgb_direct,XGB direct,0.0075,2,14,0.06106155749012892,0.0036947427572427576,0.033003663003662996,0.040393148518148514
main event-held-out,lgbm_direct,LGBM direct,0.0075,5,14,0.06106155749012892,0.0025325715950715957,0.03694144768921554,0.04960430566457352
main event-held-out,lgbm_direct,LGBM direct,0.0075,10,14,0.06106155749012892,0.0025325715950715957,0.03694144768921554,0.062267163639931504
main event-held-out,lgbm_direct,LGBM direct,0.0075,25,14,0.06106155749012892,0.0025325715950715957,0.03694144768921554,0.10025573756600543
main event-held-out,scratch_mlp,MLP scratch,0.0075,50,14,0.06106155749012892,0.0012568383996955426,0.09180444927096713,0.15464636925574426
main event-held-out,scratch_mlp,MLP scratch,0.0075,100,14,0.06106155749012892,0.0012568383996955426,0.09180444927096713,0.21748828924052138
main event-held-out,xgb_direct,XGB direct,0.01,1,14,0.03371093192521764,0.0031387511298225585,0.033517479544265254,0.03665623067408782
main event-held-out,xgb_direct,XGB direct,0.01,2,14,0.03371093192521764,0.0031387511298225585,0.033517479544265254,0.039794981803910376
main event-held-out,xgb_direct,XGB direct,0.01,5,14,0.03371093192521764,0.0031387511298225585,0.033517479544265254,0.04921123519337805
main event-held-out,lgbm_direct,LGBM direct,0.01,10,14,0.03371093192521764,0.0021486846486846486,0.03972380298273155,0.06121064946957804
main event-held-out,lgbm_direct,LGBM direct,0.01,25,14,0.03371093192521764,0.0021486846486846486,0.03972380298273155,0.09344091919984777
main event-held-out,lgbm_direct,LGBM direct,0.01,50,14,0.03371093192521764,0.0021486846486846486,0.03972380298273155,0.14715803541696396
main event-held-out,scratch_mlp,MLP scratch,0.01,100,14,0.03371093192521764,0.0014552411873840446,0.07959012713477,0.22511424587317444
main event-held-out,xgb_direct,XGB direct,0.015,1,14,0.00999878098092384,0.0019472789115646256,0.026441400861043716,0.028388679772608345
main event-held-out,xgb_direct,XGB direct,0.015,2,14,0.00999878098092384,0.0019472789115646256,0.026441400861043716,0.030335958684172968
main event-held-out,lgbm_direct,LGBM direct,0.015,5,14,0.00999878098092384,0.0009572124304267161,0.028825608914894628,0.03361167106702821
main event-held-out,lgbm_direct,LGBM direct,0.015,10,14,0.00999878098092384,0.0009572124304267161,0.028825608914894628,0.03839773321916179
main event-held-out,ridge_direct,Ridge direct,0.015,25,14,0.00999878098092384,0.00012175324675324675,0.046586285738071456,0.04963011690690262
main event-held-out,ridge_direct,Ridge direct,0.015,50,14,0.00999878098092384,0.00012175324675324675,0.046586285738071456,0.05267394807573379
main event-held-out,ridge_direct,Ridge direct,0.015,100,14,0.00999878098092384,0.00012175324675324675,0.046586285738071456,0.05876161041339613
main event-held-out,lgbm_direct,LGBM direct,0.02,1,14,0.003382034632034632,0.0009421382189239332,0.01022581585081585,0.011167954069739786
main event-held-out,lgbm_direct,LGBM direct,0.02,2,14,0.003382034632034632,0.0009421382189239332,0.01022581585081585,0.012110092288663717
main event-held-out,lgbm_direct,LGBM direct,0.02,5,14,0.003382034632034632,0.0009421382189239332,0.01022581585081585,0.014936506945435515
main event-held-out,lgbm_direct,LGBM direct,0.02,10,14,0.003382034632034632,0.0009421382189239332,0.01022581585081585,0.019647198040055183
main event-held-out,lgbm_direct,LGBM direct,0.02,25,14,0.003382034632034632,0.0009421382189239332,0.01022581585081585,0.03377927132391418
main event-held-out,ridge_direct,Ridge direct,0.02,50,14,0.003382034632034632,0.0,0.037596302507016795,0.037596302507016795
main event-held-out,ridge_direct,Ridge direct,0.02,100,14,0.003382034632034632,0.0,0.037596302507016795,0.037596302507016795
main event-held-out,lgbm_direct,LGBM direct,0.03,1,14,0.0008503401360544217,0.0007653061224489796,0.0007227891156462586,0.0014880952380952382
main event-held-out,lgbm_direct,LGBM direct,0.03,2,14,0.0008503401360544217,0.0007653061224489796,0.0007227891156462586,0.0022534013605442177
main event-held-out,hgb_direct,HGB direct,0.03,5,14,0.0008503401360544217,0.0005952380952380952,0.0011182270110841538,0.004094417487274629
main event-held-out,hgb_direct,HGB direct,0.03,10,14,0.0008503401360544217,0.0005952380952380952,0.0011182270110841538,0.007070607963465106
main event-held-out,hgb_direct,HGB direct,0.03,25,14,0.0008503401360544217,0.0005952380952380952,0.0011182270110841538,0.015999179392036537
main event-held-out,pretrained_finetune,MLP finetune,0.03,50,14,0.0008503401360544217,0.0,0.01962964119214119,0.01962964119214119
main event-held-out,pretrained_finetune,MLP finetune,0.03,100,14,0.0008503401360544217,0.0,0.01962964119214119,0.01962964119214119
main event-held-out,hgb_direct,HGB direct,0.04,1,14,0.00021258503401360543,0.00021258503401360543,0.0,0.00021258503401360543
main event-held-out,hgb_direct,HGB direct,0.04,2,14,0.00021258503401360543,0.00021258503401360543,0.0,0.00042517006802721087
main event-held-out,hgb_direct,HGB direct,0.04,5,14,0.00021258503401360543,0.00021258503401360543,0.0,0.001062925170068027
main event-held-out,hgb_direct,HGB direct,0.04,10,14,0.00021258503401360543,0.00021258503401360543,0.0,0.002125850340136054
main event-held-out,xgb_direct,XGB direct,0.04,25,14,0.00021258503401360543,0.00017006802721088437,0.000902668759811617,0.005154369440083725
main event-held-out,xgb_direct,XGB direct,0.04,50,14,0.00021258503401360543,0.00017006802721088437,0.000902668759811617,0.009406070120355835
main event-held-out,pretrained_finetune,MLP finetune,0.04,100,14,0.00021258503401360543,0.0,0.013185073854716711,0.013185073854716711
