path,bytes,sha256
.gitattributes,170,94a7d28240e8ef2428ec36312dfe6b39047da63df561377d98c0f55e615fde99
.gitignore,170,be6e0a927a34c400d7f9b37661ca2368d0feb95fb596c5d115d79960c1aeed24
.zenodo.json,909,c6dc4bab77a28142c41c11db871a5704f17855bf9a6845ec960d321379c60cd7
CITATION.cff,693,eed8d1d40f0cce1056fd73bf5fd678674ef3fc7b6104518bf6228d4f8a8a8d59
code/73_r34_filter_value_and_shift_aware_conformal.py,15479,9d60d771e1f83b0f129d849a8197f4cdee99d20ad986b82739ec305d487e7a2a
code/74_r35_conditional_miss_crc_and_metadata.py,12947,510c8a78f34a3e66a326a14b8bb0de29c4a1b5302589a26e5e7e31cb89bcb257
code/75_r35_partition_stability.py,6928,1967427580aa3156d11d39464d7de08824aaf6b39783c6089d87c061a940458b
code/75b_r35_partition_stability_wide.py,4411,130a73647297289a56d7e660c53aac3b8ee7a9f45294c4a69a0d15be791da8bb
code/75c_r35_partition_thresholds.py,5310,b8570e7c75db91e1da9150d4c38e942e2f0b80a103c5b19596a2576bb75691a8
code/76_r35_sa_feature_ablation.py,9195,8d1dbe961401b1762ab6b26b987a1cbe6ec4a53d14e65e95a85837cb96540450
code/77_r35_bound_coverage.py,7417,92c5a5a7ecff30f2bd6925c90d31eb3a6edfeee94a3bebe198d9c2fdedf53d09
code/78_r35_solver_verification.py,10462,8a65d85a87b473a9401d3dbeb4362eef6b947d79fe6aa80d0895ec33f8bddcd4
code/79_r35_subset_and_guard_sensitivity.py,5524,91f2ac2d198eafcf057623563d6b29308483b98fdb5a05ed70e2f5c2ec5f269e
code/80_r35_e7_evidence_scaling.py,9480,2659648bb70474a3c3f073a341728b9dd5e0f2b1937bc24825b4392519332f1d
code/82_r35_second_domain_cmapss.py,9264,16188cf5ac69fda59a30c915fceef36d62c8fc8856b86d1db16b5672377930a8
code/pub_style.py,4764,ba877ffca6cd8169a5113fd1b357657a5e4e67de345b75ad92c637bcf530bf10
code/r35_harness.py,12167,de30c72da3b04aaf9ff4fe045b06633310f4952f20f20176e087f04eaaded1bd
DATASETS_AND_LINKS.csv,771,8715d419ef91a160e5b8621b898233a4b01cc6ece71c3697858f274de72f9424
LICENSE,1067,c298f012f971f47a942f30674e3355153eeab2f84a88bb16f9004c6936440c84
outputs/figures/ress_final/Figure_1.pdf,43627,a3e115a9a4fc6e11372da67ce9ef69c52f9027dd18282975cbbc014cfaa6314d
outputs/figures/ress_final/Figure_1.png,261603,8fd4a3486db96362e1b2edb95b9926e59af3438d996ccdd24f05d4e8ff499939
outputs/figures/ress_final/Figure_1.svg,22069,8b94bb0c79b22107c9623252ed6bb19e7a45e3834eb3726163fa776bf82bbbca
outputs/figures/ress_final/Figure_2.pdf,40545,0373515b4a101bec4a435e43dd496f5c94dd0985d59758fa92d22af1e65caa8a
outputs/figures/ress_final/Figure_2.png,356660,6ca2e45c3dae3adf9f55b04f126225b0707a613ffa7cc68145cb41b5b8bbf531
outputs/figures/ress_final/Figure_2.svg,26029,9f688715d181eb0704dd0e36d9adb088b900686d577eb8c22f72a1b409b6fabb
outputs/figures/ress_final/Figure_3.pdf,59534,c4b7e9fd629321399cafe483bcfd76dbbb745b3e41cdeb62b829837030703e65
outputs/figures/ress_final/Figure_3.png,519375,315f162ba281e7113a003a86bb6c8af623e8631dd3149a07f8a75f421d4cc485
outputs/figures/ress_final/Figure_3.svg,79591,e42afdb4bf4c53b8c3d42118895b50fad9cb477b636519a093216ae17135a425
outputs/figures/ress_final/Figure_4.pdf,49732,cbef7f8fe2fe9e980d200b62759ee815cde9f22007922859a9b7f1f93e6fc024
