model,N,pop_pfs_median,cov_u95,cov_u95_floor,cov_u99,cov_t,cov_t_floor,median_u95
lgbm_direct,500,0.003484531181108424,0.7886666666666667,0.7919999999999999,0.8533333333333334,0.7993333333333333,0.8026666666666666,0.006510416666666666
lgbm_direct,2000,0.0059486480335231495,0.8186666666666667,0.8186666666666667,0.8793333333333333,0.8226666666666667,0.8226666666666667,0.01140562996031746
ridge_direct,500,0.0032532531705750946,0.7140000000000001,0.7320000000000001,0.7286666666666667,0.7213333333333334,0.7393333333333333,0.007978723404255319
ridge_direct,2000,0.0026684263224503743,0.8013333333333333,0.8079999999999999,0.8013333333333333,0.8013333333333333,0.8079999999999999,0.00699468085106383
scratch_mlp,500,0.023019797913414936,0.638,0.638,0.6713333333333334,0.6366666666666667,0.6366666666666667,0.03091755319148936
scratch_mlp,2000,0.03217563117829075,0.5566666666666666,0.5566666666666666,0.6153333333333334,0.566,0.566,0.03311011904761905
xgb_direct,500,0.004696503031378147,0.8026666666666666,0.8039999999999999,0.848,0.8133333333333334,0.8146666666666667,0.011960565476190475
xgb_direct,2000,0.007229773383797436,0.7653333333333334,0.7653333333333334,0.83,0.7719999999999999,0.7719999999999999,0.01418526785714283
