model,N,rep,q_log10,population_p_fs,population_beta_cons_equiv,coverage_u95,coverage_u95_floor,coverage_u99,coverage_t,coverage_t_floor,median_u95
ridge_direct,500,0,0.3579727113914055,0.0016769010651989374,2.9332994827969925,0.682,0.732,0.682,0.682,0.732,0.00375
ridge_direct,500,1,0.29873731662907943,0.0032532531705750946,2.7211000615860717,0.782,0.786,0.782,0.782,0.786,0.007978723404255319
ridge_direct,500,2,0.2950961419859337,0.005828910134529932,2.5223362808531977,0.678,0.678,0.722,0.7,0.7,0.01190820510385005
ridge_direct,2000,0,0.29859863137236964,0.0026338838012057255,2.790186573402133,0.812,0.824,0.812,0.812,0.824,0.006510416666666667
ridge_direct,2000,1,0.29289703536568235,0.003328014482038534,2.7135810209915907,0.782,0.786,0.782,0.782,0.786,0.0078125
ridge_direct,2000,2,0.2885974684942947,0.0026684263224503743,2.785965651789278,0.81,0.814,0.81,0.81,0.814,0.00699468085106383
lgbm_direct,500,0,0.17128153252483802,0.003484531181108424,2.6983190017992,0.824,0.826,0.904,0.83,0.832,0.006510416666666666
lgbm_direct,500,1,0.1844796516633309,0.0024718225394682377,2.810683102297116,0.782,0.79,0.824,0.782,0.79,0.004557291666666667
lgbm_direct,500,2,0.17554210644042012,0.004906667603244846,2.582338246805996,0.76,0.76,0.832,0.786,0.786,0.010941455979362141
lgbm_direct,2000,0,0.1280059745954829,0.005469262873286925,2.5446565809699493,0.818,0.818,0.89,0.826,0.826,0.009319196428571427
lgbm_direct,2000,1,0.12596829968666956,0.0059486480335231495,2.5151760421590046,0.756,0.756,0.852,0.766,0.766,0.013392857142857142
lgbm_direct,2000,2,0.1361112551220205,0.006136649484822472,2.504187451580181,0.882,0.882,0.896,0.876,0.876,0.01140562996031746
xgb_direct,500,0,0.14917882130516524,0.005386611833189077,2.549969845896579,0.768,0.768,0.83,0.778,0.778,0.011960565476190475
xgb_direct,500,1,0.1620309112416014,0.0032402006043310387,2.72242871803276,0.848,0.852,0.848,0.848,0.852,0.007218070652173913
xgb_direct,500,2,0.16739326662842524,0.004696503031378147,2.5974087977923896,0.792,0.792,0.866,0.814,0.814,0.0125
xgb_direct,2000,0,0.1084312580807194,0.007229773383797436,2.445639577927,0.758,0.758,0.828,0.768,0.768,0.01418526785714283
xgb_direct,2000,1,0.11604703736718847,0.0057294376443312615,2.528384590575884,0.792,0.792,0.83,0.792,0.792,0.008691109422492401
xgb_direct,2000,2,0.11309434741515867,0.008798933729553525,2.373972366442249,0.746,0.746,0.832,0.756,0.756,0.02161539208074534
scratch_mlp,500,0,0.3009959361350849,0.023019797913414936,1.9950301115099585,0.642,0.642,0.714,0.654,0.654,0.03091755319148936
scratch_mlp,500,1,0.30278594898638156,0.014971321509827523,2.170848279795654,0.742,0.742,0.742,0.742,0.742,0.027623571442337343
scratch_mlp,500,2,0.3119245129101531,0.04239796928221998,1.7235122128092413,0.53,0.53,0.558,0.514,0.514,0.04241071428571429
scratch_mlp,2000,0,0.2277586500123583,0.04130245408286574,1.735767752546395,0.406,0.406,0.476,0.418,0.418,0.03311011904761905
scratch_mlp,2000,1,0.23759550791710238,0.026344014987632006,1.9374690758369366,0.602,0.602,0.65,0.624,0.624,0.03118360298463356
scratch_mlp,2000,2,0.2085169026401985,0.03217563117829075,1.8497384048657386,0.662,0.662,0.72,0.656,0.656,0.04024268617021276
