q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,protocol,featureset,rep,N,model
0.42537710617784996,0.3085340756117267,0.7557816617259552,0.0015908061594202899,0.0034137228260869568,2.7051456017603424,0.04121376811594203,0.15343915343915346,0.09782608695652174,92,3,2992,8,event-disjoint target,base,0,50,ridge_direct
0.9897354825038347,0.5159409109742689,0.8413352272727272,0.0,0.0,5.9978070150076865,0.9821557971014493,0.0,0.0,92,3,2992,8,event-disjoint target,base,0,50,lgbm_direct
0.40563178988227966,0.427979014243116,0.7140532361660079,0.0,0.0,5.9978070150076865,0.09791666666666667,0.0,0.0,92,3,2992,8,event-disjoint target,base,0,50,xgb_direct
0.8551341909915129,1.266942413197575,0.8281666872529645,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.30236845355731223,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,0,50,scratch_mlp
0.3573316289795052,0.6247543731105266,0.6720191040843215,0.001358695652173913,0.004076086956521739,2.645701413211112,0.1709578804347826,0.047619047619047616,0.043478260869565216,92,3,2992,8,event-disjoint target,base,0,100,ridge_direct
0.4426390988515667,0.23694964556408588,0.9148036067193676,0.0,0.0,5.9978070150076865,0.15742753623188405,0.0,0.0,92,3,2992,8,event-disjoint target,base,0,100,lgbm_direct
0.29045594411252784,0.19772394997269757,0.8624418437088275,0.0006510416666666666,0.0015625,2.955166847497838,0.0459861865942029,0.047504025764895326,0.05434782608695652,92,3,2992,8,event-disjoint target,base,0,100,xgb_direct
0.4961036613508836,1.6271733537304829,0.6866276556324111,0.007687952898550725,0.017968750000000002,2.0976338780909223,0.09770411314229249,0.39285714285714285,0.5543478260869565,92,3,2992,8,event-disjoint target,base,0,100,scratch_mlp
0.3453232335992791,0.5635586898634132,0.5942909049736496,0.0,0.0,5.9978070150076865,0.17439990942028985,0.0,0.0,92,3,2992,8,event-disjoint target,base,0,250,ridge_direct
0.21200905789059954,0.18798787730281655,0.6765522068511198,0.0022701539855072466,0.004987545289855073,2.576691597470819,0.03454483695652174,0.09834368530020704,0.11956521739130435,92,3,2992,8,event-disjoint target,base,0,250,lgbm_direct
0.1649235640512723,0.18098169786058735,0.620516304347826,0.004483695652173913,0.009120244565217386,2.3606998093665883,0.018834918478260868,0.24407637451115707,0.30434782608695654,92,3,2992,8,event-disjoint target,base,0,250,xgb_direct
0.5855170368277327,1.6024929681645792,0.7555948410737813,0.0067991394927536235,0.018098958333333335,2.094697218419179,0.10771214179841898,0.37566137566137564,0.532608695652174,92,3,2992,8,event-disjoint target,base,0,250,scratch_mlp
0.26789686809108604,0.4067792477457146,0.5089205574769433,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.10019814311594202,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,0,500,ridge_direct
0.19101270190455066,0.1651582709952846,0.7099740612648222,0.006046195652173913,0.013541666666666667,2.210314639182922,0.019802989130434785,0.33103289625028753,0.43478260869565216,92,3,2992,8,event-disjoint target,base,0,500,lgbm_direct
0.16466464105976408,0.1769949838502624,0.6425127635046114,0.00747848731884058,0.016015625,2.144020428175087,0.017663043478260868,0.489648033126294,0.5543478260869565,92,3,2992,8,event-disjoint target,base,0,500,xgb_direct
0.3041959955729716,1.106493775540281,0.5831197504940712,0.00625,0.017968750000000002,2.0976338780909223,0.04204030797101449,0.3703703703703704,0.5217391304347826,92,3,2992,8,event-disjoint target,base,0,500,scratch_mlp
0.2791688118224245,0.4497403986660194,0.45137207674571805,0.002139945652173913,0.004857336956521739,2.585823227605269,0.1082314311594203,0.15873015873015872,0.10869565217391304,92,3,2992,8,event-disjoint target,base,0,1000,ridge_direct
0.1455304810807112,0.15684612633241585,0.7120687170619235,0.0034420289855072463,0.006159420289855072,2.502876833679109,0.01358695652173913,0.2537382102599494,0.21739130434782608,92,3,2992,8,event-disjoint target,base,0,1000,lgbm_direct
0.1257007587687986,0.15441482096567113,0.6513962656455863,0.0034420289855072463,0.006159420289855072,2.502876833679109,0.013847373188405798,0.23119392684610074,0.21739130434782608,92,3,2992,8,event-disjoint target,base,0,1000,xgb_direct
0.24147531168321823,1.1508254497854147,0.5487406332345192,0.00625,0.017968750000000002,2.0976338780909223,0.0357223731884058,0.3703703703703704,0.5217391304347826,92,3,2992,8,event-disjoint target,base,0,1000,scratch_mlp
0.30537812423778243,0.4672700359584241,0.4959583950922266,0.0016191123188405796,0.004076086956521739,2.645701413211112,0.11880661231884057,0.08465608465608465,0.06521739130434782,92,3,2992,8,event-disjoint target,base,0,2000,ridge_direct
0.12815305059282878,0.16182640365995793,0.5449707674571804,0.006567028985507246,0.013020833333333334,2.225589850263764,0.016304347826086956,0.4501955371520589,0.4782608695652174,92,3,2992,8,event-disjoint target,base,0,2000,lgbm_direct
0.11356762807669041,0.159942088351066,0.5314182929841897,0.00396286231884058,0.006680253623188405,2.4740123652642714,0.016304347826086956,0.30526800092017486,0.2608695652173913,92,3,2992,8,event-disjoint target,base,0,2000,xgb_direct
0.23215762393900263,0.8934186133131982,0.6436249382411067,0.00625,0.017968750000000002,2.0976338780909223,0.03083673007246377,0.3703703703703704,0.5217391304347826,92,3,2992,8,event-disjoint target,base,0,2000,scratch_mlp
0.4785815436858847,0.49672784938694264,0.825583106884058,0.0006793478260869565,0.0020380434782608695,2.8722125627246866,0.18739809782608696,0.023809523809523808,0.021739130434782608,92,3,2992,8,event-disjoint target,base,1,50,ridge_direct
0.893683839386024,0.45521037158821737,0.9286911231884059,0.017844202898550723,0.034574275362318795,1.8174479539015762,0.0,1.0,1.0,92,3,2992,8,event-disjoint target,base,1,50,lgbm_direct
0.5209515100181137,0.3396345743476235,0.926377223320158,0.004483695652173913,0.009388020833333321,2.3499478465213057,0.04701653079710145,0.24407637451115707,0.30434782608695654,92,3,2992,8,event-disjoint target,base,1,50,xgb_direct
1.0746812710688036,1.9657932513928822,0.805570137516469,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.3463706357048748,0.3333333333333333,0.5,92,3,2992,8,event-disjoint target,base,1,50,scratch_mlp
0.38756937965826666,0.5261279356408511,0.7144320240447959,0.0,0.0,5.9978070150076865,0.1625396286231884,0.0,0.0,92,3,2992,8,event-disjoint target,base,1,100,ridge_direct
0.40702025700644384,0.21639648755514035,0.9201426630434782,0.0,0.0,5.9978070150076865,0.14241394927536233,0.0,0.0,92,3,2992,8,event-disjoint target,base,1,100,lgbm_direct
0.39963513249944116,0.18582665278257635,0.9752774003623188,0.002864583333333333,0.008593749999999999,2.3826720148424148,0.048635643115942026,0.15942028985507248,0.2391304347826087,92,3,2992,8,event-disjoint target,base,1,100,xgb_direct
0.5569637681815025,1.5411296298939956,0.7539433053359683,0.008967391304347826,0.01824218749999999,2.091487620556509,0.07897984601449276,0.4656084656084656,0.6086956521739131,92,3,2992,8,event-disjoint target,base,1,100,scratch_mlp
0.35424130678124444,0.5109154995482446,0.6226598526021081,0.0010190217391304348,0.003057065217391304,2.7415970038950053,0.15109261775362318,0.03571428571428571,0.03260869565217391,92,3,2992,8,event-disjoint target,base,1,250,ridge_direct
0.27612570844561923,0.20211518098653228,0.7978971096837945,0.000390625,0.0011718750000000002,3.0428167632431826,0.03602807971014493,0.021739130434782608,0.03260869565217391,92,3,2992,8,event-disjoint target,base,1,250,lgbm_direct
0.22675278071443516,0.19552104545528182,0.7827991189064558,0.0063066123188405794,0.014583333333333334,2.181226513855328,0.02360733695652174,0.34552564987347595,0.45652173913043476,92,3,2992,8,event-disjoint target,base,1,250,xgb_direct
