protocol,featureset,model,N,rmse_median,coverage_median,beta_median,pfu_median,cond_median,q_median,reps,plain_filter,guarded_filter
event-disjoint target,spectral,ridge_direct,1000,0.42588561217091486,0.525193768527668,2.645701413211112,0.10836447010869565,0.08465608465608465,0.29411222520300884,10,Pass,Pass
event-disjoint target,spectral,ridge_direct,2000,0.43490404677815275,0.5231577836791832,2.645701413211112,0.11293308423913043,0.08465608465608465,0.2996515914582105,10,Pass,Pass
event-disjoint target,spectral,scratch_mlp,50,2.0295437453197573,0.8009160902503294,2.0976338780909223,0.32128314393939394,0.38690476190476186,1.0656189161564742,10,Fail,Fail
event-disjoint target,spectral,scratch_mlp,100,1.4666236444195295,0.7295454545454545,2.0976338780909223,0.09417742300724638,0.38690476190476186,0.5888744038269389,10,Fail,Fail
event-disjoint target,spectral,scratch_mlp,250,1.406129004752846,0.6801491477272728,2.0976338780909223,0.0721382472826087,0.4272486772486772,0.3794601188380349,10,Fail,Fail
event-disjoint target,spectral,scratch_mlp,500,1.055976822310421,0.6622449872364954,2.0976338780909223,0.04652966485507247,0.4027777777777778,0.2796572538989195,10,Fail,Fail
event-disjoint target,spectral,scratch_mlp,1000,0.80819101708143,0.6339010004940712,2.0976338780909223,0.03306725543478261,0.39947089947089953,0.21208325013488738,10,Fail,Fail
event-disjoint target,spectral,scratch_mlp,2000,0.5754945021245339,0.6296082427536231,2.0933644126672983,0.0188575634057971,0.37896825396825395,0.1695956676156578,10,Fail,Fail
event-disjoint target,spectral,xgb_direct,50,0.21277259828741923,0.7795171483860341,2.3309269959919643,0.029809216485507245,0.26432022084195994,0.2762855572317149,10,Fail,Fail
event-disjoint target,spectral,xgb_direct,100,0.1597026272490131,0.8121353652009222,2.2296451432203126,0.019067028985507245,0.2946859903381642,0.20700292123148367,10,Fail,Fail
event-disjoint target,spectral,xgb_direct,250,0.11125110888061363,0.7849527029808959,2.1863657521546718,0.012879302536231884,0.31705774097078443,0.1303744175127839,10,Fail,Fail
event-disjoint target,spectral,xgb_direct,500,0.09786855859423818,0.7443745368083003,2.17696619554635,0.008282382246376813,0.40631469979296064,0.10495000019234935,10,Fail,Fail
event-disjoint target,spectral,xgb_direct,1000,0.09171640465226062,0.7278434823781291,2.1831583345262873,0.008152173913043478,0.3861858753163101,0.07868953408489365,10,Fail,Fail
event-disjoint target,spectral,xgb_direct,2000,0.08799266661440695,0.6470149868247694,2.2239041871190066,0.005434782608695652,0.3680699332873245,0.06791107778843664,10,Fail,Fail
main event-held-out,base,hgb_direct,500,0.15744801943533127,0.7000817448920127,2.5843464097297826,0.03827994921744922,0.09904761904761904,0.1791199778674304,10,Pass,Pass
main event-held-out,base,lgbm_direct,500,0.15398466224155533,0.7613779821369107,2.589888242682427,0.038320905285191,0.09904761904761904,0.18525591347048542,10,Pass,Pass
main event-held-out,base,pretrained_finetune,500,0.18765449911455173,0.8195949233058608,2.459156169621223,0.055653972143927505,0.10357142857142856,0.2604874798522263,10,Fail,Fail
main event-held-out,base,rf_direct,500,0.16571996801043964,0.7548846614694829,2.4777466884659147,0.038630863184434615,0.14389610389610386,0.1998313018459219,10,Fail,Fail
main event-held-out,base,ridge_direct,500,0.2369765789596947,0.7557548292481328,2.5916046918449775,0.051128410280196,0.1,0.32311800573849214,10,Pass,Pass
main event-held-out,base,scratch_mlp,500,0.190869272300089,0.8949249597129061,2.76279348781405,0.07760517012749156,0.0474025974025974,0.29997421587947204,10,Pass,Pass
main event-held-out,base,xgb_direct,500,0.15086774486721294,0.7154996510186242,2.526049972906594,0.03350020515199087,0.1333333333333333,0.16877399274668958,10,Pass,Pass
main event-held-out,spectral,hgb_direct,500,0.09690139031805407,0.7766357154750012,5.9978070150076865,0.03456929974787118,0.0,0.12300427036945272,10,Pass,Pass
main event-held-out,spectral,lgbm_direct,500,0.09811956872107067,0.7750499128847343,5.9978070150076865,0.037810998525284245,0.0,0.12247852476626442,10,Pass,Pass
main event-held-out,spectral,pretrained_finetune,500,0.11094559340778612,0.8846409078272919,5.9978070150076865,0.04265377479663193,0.0,0.17881225189035077,10,Pass,Pass
main event-held-out,spectral,rf_direct,500,0.09247513007767164,0.8465293913675609,3.0384046491400856,0.026315351315351315,0.0316017316017316,0.13759981710713265,10,Pass,Pass
main event-held-out,spectral,ridge_direct,500,0.2330835109713028,0.7451998243571905,2.6420019456339854,0.04953439417725132,0.04642857142857143,0.30680678864896915,10,Pass,Pass
main event-held-out,spectral,scratch_mlp,500,0.18489595671384373,0.9058386832661387,2.4487379106122793,0.08816762664418915,0.0804112554112554,0.2880165839320177,10,Fail,Fail
main event-held-out,spectral,xgb_direct,500,0.07907079905857489,0.8084391427025355,2.7901071351687703,0.021680700252128822,0.048917748917748916,0.10450802907597234,10,Pass,Pass
