protocol,featureset,model,N,rmse_median,coverage_median,beta_median,pfu_median,cond_median,q_median,reps,plain_filter,guarded_filter
event-disjoint target,base,lgbm_direct,50,0.4670493832896384,0.7940189085144927,5.9978070150076865,0.9821557971014493,0.0,0.8597171761478325,10,Pass,Vacuous/Fail-guard
event-disjoint target,base,lgbm_direct,100,0.2436560440659149,0.8594388175230566,5.9978070150076865,0.08664515398550725,0.0,0.3901551695892016,10,Pass,Pass
event-disjoint target,base,lgbm_direct,250,0.18962978777595196,0.7880581459980236,2.8076171580576483,0.04064764492753623,0.045548654244306416,0.24818499582879827,10,Pass,Pass
event-disjoint target,base,lgbm_direct,500,0.16733515480769112,0.6979658164525692,2.47754185351525,0.019774682971014493,0.1723027375201288,0.17250812306043573,10,Fail,Fail
event-disjoint target,base,lgbm_direct,1000,0.1572075856886635,0.644834640563241,2.4740123652642714,0.01358695652173913,0.30526800092017486,0.1435339931704125,10,Fail,Fail
event-disjoint target,base,lgbm_direct,2000,0.15475921012963026,0.5488561738306983,2.3309267875366784,0.013847373188405798,0.32539682539682535,0.12127914590953193,10,Fail,Fail
event-disjoint target,base,ridge_direct,50,0.5529910152438946,0.734366508152174,3.2219927146761247,0.2036033740942029,0.009575569358178054,0.4290033729503041,10,Pass,Pass
event-disjoint target,base,ridge_direct,100,0.411952868594994,0.6830011219532279,2.9237945711570457,0.1154211956521739,0.05423280423280423,0.37245050431888593,10,Pass,Pass
event-disjoint target,base,ridge_direct,250,0.478983953851676,0.5486472229084322,2.9442517060533415,0.13978996829710144,0.04828042328042327,0.3268572273858035,10,Pass,Pass
event-disjoint target,base,ridge_direct,500,0.5013814958309457,0.5076735424901185,2.645701413211112,0.12629359148550723,0.08465608465608465,0.2978981351468053,10,Pass,Pass
event-disjoint target,base,ridge_direct,1000,0.4615203606365451,0.49942281167654806,2.645701413211112,0.11981148097826086,0.08465608465608465,0.2964229120045905,10,Pass,Pass
event-disjoint target,base,ridge_direct,2000,0.48687658341775597,0.5010344614624506,2.645701413211112,0.12745414402173913,0.08465608465608465,0.3006686434278899,10,Pass,Pass
event-disjoint target,base,scratch_mlp,50,1.8468446504793872,0.7910969408761528,2.0976338780909223,0.30296777215085635,0.3452380952380953,0.8741226863813951,10,Fail,Fail
event-disjoint target,base,scratch_mlp,100,1.5841514918122392,0.6834486166007905,2.0976338780909223,0.09615447957839263,0.36904761904761907,0.5312170669716363,10,Fail,Fail
event-disjoint target,base,scratch_mlp,250,1.4003466752728022,0.6728999402997364,2.0976338780909223,0.07005208333333333,0.36111111111111116,0.4019252551297059,10,Fail,Fail
event-disjoint target,base,scratch_mlp,500,0.8370995078048314,0.6432772871376812,2.0976338780909223,0.05410439311594203,0.34259259259259256,0.318118968218561,10,Fail,Fail
event-disjoint target,base,scratch_mlp,1000,0.7637770275244077,0.6842411890645586,2.0976338780909223,0.03492697010869565,0.3855820105820106,0.25792217435431186,10,Fail,Fail
event-disjoint target,base,scratch_mlp,2000,0.5329537127651648,0.652636075428195,2.0900105966002074,0.024210258152173914,0.4100529100529101,0.22714099877231186,10,Fail,Fail
event-disjoint target,base,xgb_direct,50,0.2877342800122047,0.8171468420619237,2.3663099306818602,0.050093410326086954,0.22026685070163327,0.3816430439088808,10,Fail,Fail
event-disjoint target,base,xgb_direct,100,0.21158347476798584,0.8092049057147563,2.175637532934931,0.02455276268115942,0.31602254428341386,0.28555990505768336,10,Fail,Fail
event-disjoint target,base,xgb_direct,250,0.18380717340612113,0.7521108675065876,2.4880825604129617,0.02277513586956522,0.20672302737520126,0.1995238303109963,10,Fail,Fail
event-disjoint target,base,xgb_direct,500,0.16795087013431448,0.642291718132411,2.3359607146978765,0.016796875000000003,0.28853232114101673,0.15983689880195384,10,Fail,Fail
event-disjoint target,base,xgb_direct,1000,0.15910449085054695,0.5855247447299078,2.3778559628121574,0.015726902173913045,0.34069473199907985,0.1281604472006228,10,Fail,Fail
event-disjoint target,base,xgb_direct,2000,0.1587799040660696,0.5300480175395257,2.3960022938103966,0.014028532608695653,0.2891649413388544,0.10603824421157104,10,Fail,Fail
event-disjoint target,spectral,lgbm_direct,50,0.4670493832896384,0.7940189085144927,5.9978070150076865,0.9821557971014493,0.0,0.8597171761478325,10,Pass,Vacuous/Fail-guard
event-disjoint target,spectral,lgbm_direct,100,0.2258292489266955,0.8761132040513834,4.328937241812573,0.09108922101449274,0.036231884057971016,0.3609590449219551,10,Pass,Pass
event-disjoint target,spectral,lgbm_direct,250,0.13382547813862025,0.7685616353754942,2.3428487315889455,0.025741621376811595,0.19605475040257647,0.17866884024427965,10,Fail,Fail
event-disjoint target,spectral,lgbm_direct,500,0.10362993685557714,0.7793753602602108,2.3205248912297582,0.014237998188405796,0.21480331262939956,0.12020661526736753,10,Fail,Fail
event-disjoint target,spectral,lgbm_direct,1000,0.09014688341774826,0.7751201725131752,2.211203343123684,0.009510869565217392,0.3329882677708764,0.09041595411806336,10,Fail,Fail
event-disjoint target,spectral,lgbm_direct,2000,0.08625468965619354,0.7064826251646904,2.188550639216195,0.008152173913043478,0.31239935587761675,0.0797709257084196,10,Fail,Fail
event-disjoint target,spectral,ridge_direct,50,0.45252799809218675,0.6730036437747036,5.9978070150076865,0.19660892210144926,0.0,0.4470838528812028,10,Pass,Pass
event-disjoint target,spectral,ridge_direct,100,0.335600428381758,0.6554481637022398,3.017515264172986,0.07503113677536233,0.03042328042328042,0.34062948180452013,10,Pass,Pass
event-disjoint target,spectral,ridge_direct,250,0.4760334088254805,0.5539682662220027,2.8722125627246866,0.13382019927536232,0.054894179894179884,0.30704610715370917,10,Pass,Pass
event-disjoint target,spectral,ridge_direct,500,0.4354857237945836,0.5177127079216074,2.645701413211112,0.10698029891304348,0.08465608465608465,0.30312650962378607,10,Pass,Pass
