model,N,rmse_base,rmse_spectral,rmse_gain_pct,beta_base,beta_spectral,cond_base,cond_spectral,filter_base,filter_spectral,verdict_flip
lgbm_direct,50,0.4670493832896384,0.4670493832896384,0.0,5.9978070150076865,5.9978070150076865,0.0,0.0,Pass,Pass,False
lgbm_direct,100,0.2436560440659149,0.2258292489266955,7.316377152703344,5.9978070150076865,4.328937241812573,0.0,0.036231884057971016,Pass,Pass,False
lgbm_direct,250,0.18962978777595196,0.13382547813862025,29.428029368078306,2.8076171580576483,2.3428487315889455,0.045548654244306416,0.19605475040257647,Pass,Fail,True
lgbm_direct,500,0.16733515480769112,0.10362993685557714,38.070432973469806,2.47754185351525,2.3205248912297582,0.1723027375201288,0.21480331262939956,Fail,Fail,False
lgbm_direct,1000,0.1572075856886635,0.09014688341774826,42.657421381512314,2.4740123652642714,2.211203343123684,0.30526800092017486,0.3329882677708764,Fail,Fail,False
lgbm_direct,2000,0.15475921012963026,0.08625468965619354,44.265230105565664,2.3309267875366784,2.188550639216195,0.32539682539682535,0.31239935587761675,Fail,Fail,False
ridge_direct,50,0.5529910152438946,0.45252799809218675,18.16720604536387,3.2219927146761247,5.9978070150076865,0.009575569358178054,0.0,Pass,Pass,False
ridge_direct,100,0.411952868594994,0.335600428381758,18.534265940092503,2.9237945711570457,3.017515264172986,0.05423280423280423,0.03042328042328042,Pass,Pass,False
ridge_direct,250,0.478983953851676,0.4760334088254805,0.616000808058216,2.9442517060533415,2.8722125627246866,0.04828042328042327,0.054894179894179884,Pass,Pass,False
ridge_direct,500,0.5013814958309457,0.4354857237945836,13.142840847596945,2.645701413211112,2.645701413211112,0.08465608465608465,0.08465608465608465,Pass,Pass,False
ridge_direct,1000,0.4615203606365451,0.42588561217091486,7.7211649809948915,2.645701413211112,2.645701413211112,0.08465608465608465,0.08465608465608465,Pass,Pass,False
ridge_direct,2000,0.48687658341775597,0.43490404677815275,10.674683977357992,2.645701413211112,2.645701413211112,0.08465608465608465,0.08465608465608465,Pass,Pass,False
scratch_mlp,50,1.8468446504793872,2.0295437453197573,-9.892499338964258,2.0976338780909223,2.0976338780909223,0.3452380952380953,0.38690476190476186,Fail,Fail,False
scratch_mlp,100,1.5841514918122392,1.4666236444195295,7.4189777934848955,2.0976338780909223,2.0976338780909223,0.36904761904761907,0.38690476190476186,Fail,Fail,False
scratch_mlp,250,1.4003466752728022,1.406129004752846,-0.4129212845752935,2.0976338780909223,2.0976338780909223,0.36111111111111116,0.4272486772486772,Fail,Fail,False
scratch_mlp,500,0.8370995078048314,1.055976822310421,-26.147108254735755,2.0976338780909223,2.0976338780909223,0.34259259259259256,0.4027777777777778,Fail,Fail,False
scratch_mlp,1000,0.7637770275244077,0.80819101708143,-5.815046532753048,2.0976338780909223,2.0976338780909223,0.3855820105820106,0.39947089947089953,Fail,Fail,False
scratch_mlp,2000,0.5329537127651648,0.5754945021245339,-7.982079557838421,2.0900105966002074,2.0933644126672983,0.4100529100529101,0.37896825396825395,Fail,Fail,False
xgb_direct,50,0.2877342800122047,0.21277259828741923,26.05239866504813,2.3663099306818602,2.3309269959919643,0.22026685070163327,0.26432022084195994,Fail,Fail,False
xgb_direct,100,0.21158347476798584,0.1597026272490131,24.52027388994497,2.175637532934931,2.2296451432203126,0.31602254428341386,0.2946859903381642,Fail,Fail,False
xgb_direct,250,0.18380717340612113,0.11125110888061363,39.47401136798682,2.4880825604129617,2.1863657521546718,0.20672302737520126,0.31705774097078443,Fail,Fail,False
xgb_direct,500,0.16795087013431448,0.09786855859423818,41.72786451420569,2.3359607146978765,2.17696619554635,0.28853232114101673,0.40631469979296064,Fail,Fail,False
xgb_direct,1000,0.15910449085054695,0.09171640465226062,42.35460975239636,2.3778559628121574,2.1831583345262873,0.34069473199907985,0.3861858753163101,Fail,Fail,False
xgb_direct,2000,0.1587799040660696,0.08799266661440695,44.58198779500931,2.3960022938103966,2.2239041871190066,0.2891649413388544,0.3680699332873245,Fail,Fail,False
