gm_id,event_id,event_title,event_page_url,zip_url,magnitude,file_name,station,component,problem_flag,structure_type,sample_rate_hz,dt_original_s,n_original,pga_original_g,pga_g,pgv_m_s,pgd_m,arias_m_s,cav_m_s,d5_95_s,tm_s,pgv_pga_s
11,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1741a_a.smc,AK:Anchorage; Police Hdqtrs,90,-32768,-32768,100.0,0.01,30000,0.010281345565749236,0.010265543964062327,0.021793549764761652,0.04383519904909616,0.0032506936196995202,0.6696872256545273,26.225260180728696,0.9012323195100446,0.21640983796526553
12,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1741b_a.smc,AK:Anchorage; Police Hdqtrs,360,-32768,-32768,100.0,0.01,30000,0.00887400611620795,0.008879796713695478,0.01818585201407694,0.029004905419633215,0.0037847993938703245,0.7833957539432301,31.564509903663918,1.0750350460735312,0.2087668901134792
13,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1741c_a.smc,AK:Anchorage; Police Hdqtrs,UP,-32768,-32768,100.0,0.01,30000,0.005361467889908256,0.005352694921999432,0.013308190028520486,0.015493106210772264,0.0015340429134408484,0.48158359857754285,29.191939744092206,1.0643440744792798,0.2534413625687813
14,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1744a_a.smc,AK:Anchorage;St Fish&Game,90,-32768,-32768,100.0,0.01,30000,0.013663608562691132,0.013568949801121352,0.025233781998843633,0.05362287219919456,0.009058063494855882,1.186299996993755,31.364828441912977,0.7200076942461885,0.1895689059199808
15,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1744b_a.smc,AK:Anchorage;St Fish&Game,360,-32768,-32768,100.0,0.01,30000,0.012141692150866462,0.012119140154361083,0.025317810639501292,0.02135237469773202,0.01006378394351351,1.2734332021762107,32.59737830719574,0.7856391495972912,0.21295376949836442
16,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1744c_a.smc,AK:Anchorage;St Fish&Game,UP,-32768,-32768,100.0,0.01,30000,0.0065984709480122325,0.006559308844249185,0.0191376081964144,0.024108762624059626,0.0022523540527367037,0.5989263586213769,35.056868638385374,1.072370731117012,0.29741342722412173
17,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1751a_a.smc,AK:Anchorage;Dowl Engr Whouse,90,-32768,-32768,100.0,0.01,30000,0.010211009174311926,0.010117296110707939,0.02956713806197733,0.07951775455813435,0.006400469599685571,1.0106279070014672,34.0857237017719,0.8183996063447758,0.2979036475856826
18,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1751b_a.smc,AK:Anchorage;Dowl Engr Whouse,360,-32768,-32768,100.0,0.01,30000,0.014176350662589194,0.014053682047899339,0.0250903980303836,0.03751920164479937,0.007776058666760903,1.1125962944980703,31.779892787092553,0.8131280669200256,0.18199037496118875
19,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,1751c_a.smc,AK:Anchorage;Dowl Engr Whouse,UP,-32768,-32768,100.0,0.01,30000,0.005360244648318043,0.005340758766253631,0.013103011109805716,0.01692197190009363,0.0015177083711719202,0.49811797861674145,35.56061233345547,1.3264335517624877,0.25009162006198354
20,20021103_2212,"20021103 22:12 UTC, Denali Fault, Alaska, Mw 7.9 Earthquake Data",https://escweb.wr.usgs.gov/nsmp-data/data_sets/20021103_2212.html,https://ca.water.usgs.gov/nsmp/20021103_2212/zips/20021103_2212_corr.zip,7.9,k202a_a.smc,K2-02,360,-32768,-32768,200.0,0.005,64200,0.011755351681957186,0.011762240678569081,0.025024831816654505,0.03705490878172722,0.008346619759557214,1.116235904178704,27.03607146012603,0.8866940356854324,0.21687630148294748
