event_id,event_page_url,zip_url,title,magnitude,zip_size_mb_reported
19990703_1,https://escweb.wr.usgs.gov/nsmp-data/data_sets/19990703_1.html,https://ca.water.usgs.gov/nsmp/19990703_1/zips/19990703_1_corr.zip,"July 3, 1999, Mw 5.8, Satsop, Washington Earthquake Data",5.8,0.6
20091230_1848,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20091230_1848.html,https://ca.water.usgs.gov/nsmp/20091230_1848/zips/20091230_1848_corr.zip,"20091230 22:55 UTC, Guadalupe Victoria, Baja California, Mexico, Mw 5.8 Earthquake Data",5.8,9.1
20110823_1751,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20110823_1751.html,https://ca.water.usgs.gov/nsmp/20110823_1751/zips/20110823_1751_corr.zip,"20110823 17:51 UTC, Mineral, Virginia, Mw 5.8 Earthquake Data",5.8,13.1
20100516_0516,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20100516_0516.html,https://ca.water.usgs.gov/nsmp/20100516_0516/zips/20100516_0516_corr.zip,"20100516 11:04 UTC, Moca, Puerto Rico, Mw 5.8 Earthquake Data",5.8,20.0
20020222_1,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20020222_1.html,https://ca.water.usgs.gov/nsmp/20020222_1/zips/20020222_1_corr.zip,"20020222 19:32 UTC California-Baja California Border, Mw 5.7 Earthquake Data",5.7,1.6
20100615_0426,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20100615_0426.html,https://ca.water.usgs.gov/nsmp/20100615_0426/zips/20100615_0426_corr.zip,"20100615 04:26 UTC, Ocotillo, California, Mw 5.7 Earthquake Data",5.7,18.1
20100320_1808,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20100320_1808.html,https://ca.water.usgs.gov/nsmp/20100320_1808/zips/20100320_1808_corr.zip,"20100320 18:08 UTC, Cuba Region, Mw 5.6 Earthquake Data",5.6,0.1
20070109_1549,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070109_1549.html,https://ca.water.usgs.gov/nsmp/20070109_1549/zips/20070109_1549_corr.zip,"20070109 21:20 UTC, British Columbia, Canada, Mw 5.6 Earthquake Data",5.6,0.6
19910628_1443,https://escweb.wr.usgs.gov/nsmp-data/data_sets/19910628_1443.html,https://ca.water.usgs.gov/nsmp/19910628_1443/zips/19910628_1443_corr.zip,"19910628 14:43 UTC, Sierra Madre, California, Mw 5.6 Earthquake Data",5.6,1.1
20120213_2107,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20120213_2107.html,https://ca.water.usgs.gov/nsmp/20120213_2107/zips/20120213_2107_corr.zip,"20120213 21:07 UTC, Weitchpec, California, Mw 5.6 Earthquake Data",5.6,2.9
20111106_0353,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20111106_0353.html,https://ca.water.usgs.gov/nsmp/20111106_0353/zips/20111106_0353_corr.zip,"20111106 03:53 UTC, Shawnee, Oklahoma, Mw 5.6 Earthquake Data",5.6,5.3
20050726_0408,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20050726_0408.html,https://ca.water.usgs.gov/nsmp/20050726_0408/zips/20050726_0408_corr.zip,"20050726 04:08 UTC, Dillon, Montana, Mw 5.6 Earthquake Data",5.6,5.3
20040918_2302,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20040918_2302.html,https://ca.water.usgs.gov/nsmp/20040918_2302/zips/20040918_2302_corr.zip,"20040918 23:02 UTC, Adobe Hills, California, Mw 5.5 Earthquake Data",5.5,1.5
20070226_1219,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070226_1219.html,https://ca.water.usgs.gov/nsmp/20070226_1219/zips/20070226_1219_corr.zip,"20070226 17:41 UTC, Offshore Northern California, California, Mw 5.4 Earthquake Data",5.4,0.2
20060524_0420,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20060524_0420.html,https://ca.water.usgs.gov/nsmp/20060524_0420/zips/20060524_0420_corr.zip,"20060524 02:04 UTC, Guadalupe Victoria, Baja California, Mexico, Mw 5.4 Earthquake Data",5.4,0.7
20010810_1,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20010810_1.html,https://ca.water.usgs.gov/nsmp/20010810_1/zips/20010810_1_corr.zip,"20010810 Mohawk Valley, California, ML 5.4 Earthquake Data",5.4,0.8
19860713_1347,https://escweb.wr.usgs.gov/nsmp-data/data_sets/19860713_1347.html,https://ca.water.usgs.gov/nsmp/19860713_1347/zips/19860713_1347_corr.zip,"19860713 13:47 UTC, Oceanside, California, ML 5.4 Earthquake Data",5.4,0.8
20080430_0303,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20080430_0303.html,https://ca.water.usgs.gov/nsmp/20080430_0303/zips/20080430_0303_corr.zip,"20080430 03:03 UTC, Willow Creek, California, Mw 5.4 Earthquake Data",5.4,1.1
20040918_2343,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20040918_2343.html,https://ca.water.usgs.gov/nsmp/20040918_2343/zips/20040918_2343_corr.zip,"20040918 23:02 UTC, Adobe Hills, California, Mw 5.4 Earthquake Data",5.4,1.5
20110823_0546,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20110823_0546.html,https://ca.water.usgs.gov/nsmp/20110823_0546/zips/20110823_0546_corr.zip,"20110823 23:30 UTC, Trinidad, Colorado, Mw 5.4 Earthquake Data",5.4,2.1
20070814_0538,https://escweb.wr.usgs.gov/nsmp-data/data_sets/20070814_0538.html,https://ca.water.usgs.gov/nsmp/20070814_0538/zips/20070814_0538_corr.zip,"20070814 05:38 UTC, SE of Pu`u `O`o Crater, Hawai`i Island, Hawai`i, Mw 5.4 Earthquake Data",5.4,2.2
