model,N,plain_pass_fraction,guarded_pass_fraction,beta_median,beta_p05,beta_p95,pfu_median,cond_median
lgbm_direct,500,0.5,0.5,2.5037918497026004,1.645385900386049,5.9978070150076865,0.04885806714950737,0.12204414644703546
lgbm_direct,2000,0.3333333333333333,0.3333333333333333,2.296722319277522,1.6914798539418843,2.645701413211112,0.023637820512820512,0.18840579710144925
ridge_direct,500,0.3333333333333333,0.3333333333333333,2.013302979750736,1.796520090502494,5.9978070150076865,0.11191101414437012,0.250719572368421
ridge_direct,2000,0.38095238095238093,0.38095238095238093,2.1343700649993647,1.7973779362408542,5.9978070150076865,0.1031515642419175,0.28125
scratch_mlp,500,0.08333333333333333,0.08333333333333333,1.6498356866983297,1.4093545387390647,5.44621469644099,0.07077066785117056,0.5098684210526316
scratch_mlp,2000,0.09523809523809523,0.09523809523809523,2.0214890313000695,1.5439842531664012,3.3593537179343116,0.04473723174470457,0.4583333333333333
xgb_direct,500,0.375,0.375,2.4133631984616972,1.788312153366143,5.9978070150076865,0.03321061053737684,0.14492753623188406
xgb_direct,2000,0.3333333333333333,0.3333333333333333,2.239549377269644,1.7151674103459398,2.7628923037353035,0.02172321778300039,0.20772946859903382
