partition_seed,model,N,beta,pfu,cond,unsafe_rows,plain_pass,guarded_pass
9100,lgbm_direct,500,2.054742877415711,0.03205128205128205,0.23026315789473684,234.0,False,False
9100,lgbm_direct,2000,1.9606499456339186,0.012219551282051282,0.33637914230019494,234.0,False,False
9100,ridge_direct,500,1.9507925304476694,0.0633613782051282,0.3632431773879142,234.0,False,False
9100,ridge_direct,2000,1.9644393206206094,0.06260016025641026,0.35447124756335285,234.0,False,False
9100,scratch_mlp,500,1.581683001595289,0.04844150641025641,0.5009746588693957,234.0,False,False
9100,scratch_mlp,2000,1.7824278505342865,0.03224158653846154,0.40131578947368424,234.0,False,False
9100,xgb_direct,500,2.142772005394995,0.027934695512820514,0.20449561403508773,234.0,False,False
9100,xgb_direct,2000,1.942113203579429,0.010096153846153845,0.3330896686159844,234.0,False,False
9101,lgbm_direct,500,5.9978070150076865,0.029009988249118684,0.0,28.0,True,True
9101,lgbm_direct,2000,2.645701413211112,0.01527614571092832,0.14285714285714285,28.0,True,True
9101,ridge_direct,500,2.645701413211112,0.024511603995299648,0.14285714285714285,28.0,True,True
9101,ridge_direct,2000,2.645701413211112,0.021886016451233843,0.14285714285714285,28.0,True,True
9101,scratch_mlp,500,5.9978070150076865,0.049398838376419896,0.0,28.0,True,True
9101,scratch_mlp,2000,5.9978070150076865,0.028036868390129262,0.0,28.0,True,True
9101,xgb_direct,500,2.8722125627246866,0.02070174794359577,0.07142857142857142,28.0,True,True
9101,xgb_direct,2000,2.645701413211112,0.01527614571092832,0.14285714285714285,28.0,True,True
9102,lgbm_direct,500,2.1432709737132196,0.032962469681219686,0.26119136155606404,280.0,False,False
9102,ridge_direct,500,1.6570170618584092,0.15626001602564102,0.3404605263157895,280.0,False,False
9102,scratch_mlp,500,1.4079981743852021,0.02208939708939709,0.8147386695906432,280.0,False,False
9102,xgb_direct,500,1.8943158912760723,0.009154647435897435,0.4628563596491228,280.0,False,False
9103,lgbm_direct,500,2.12756221981528,0.061540062219410045,0.33504958047292144,226.0,False,False
9103,lgbm_direct,2000,2.1343700649993647,0.04027219108740848,0.3043478260869565,226.0,False,False
9103,ridge_direct,500,5.9978070150076865,0.08893559895597938,0.0,226.0,True,True
9103,ridge_direct,2000,5.9978070150076865,0.08740413568878241,0.0,226.0,True,True
9103,scratch_mlp,500,1.9249720139001771,0.09454869271445358,0.3661191021030838,226.0,False,False
9103,scratch_mlp,2000,2.010379621411101,0.0658531911928651,0.36249591369728673,226.0,False,False
9103,xgb_direct,500,2.0976338780909223,0.03591739733044081,0.34210526315789475,226.0,False,False
9103,xgb_direct,2000,2.1343700649993647,0.03455022748501009,0.3043478260869565,226.0,False,False
9104,lgbm_direct,500,1.9169176261176828,0.024120213963963962,0.31853070175438597,234.0,False,False
9104,lgbm_direct,2000,2.148795162786282,0.021774839743589743,0.1894493177387914,234.0,False,False
9104,ridge_direct,500,1.7973779362408542,0.044363413894663896,0.44273879142300193,234.0,False,False
9104,ridge_direct,2000,1.7536693548772022,0.045986822158697156,0.4515107212475633,234.0,False,False
9104,scratch_mlp,500,1.4407353814888437,0.03771223146223146,0.6842714424951266,234.0,False,False
9104,scratch_mlp,2000,1.472873101048642,0.034480574324324324,0.5486720272904484,234.0,False,False
9104,xgb_direct,500,2.0931233923965396,0.027769025034650036,0.21247563352826512,234.0,False,False
9104,xgb_direct,2000,2.1097277723170054,0.02156098406098406,0.20394736842105263,234.0,False,False
9105,lgbm_direct,500,2.2662268092096522,0.04457566889632107,0.21739130434782608,226.0,False,False
9105,lgbm_direct,2000,2.1742348816142996,0.030971293199554068,0.3043478260869565,226.0,False,False
9105,ridge_direct,500,5.9978070150076865,0.08947402801003343,0.0,226.0,True,True
9105,ridge_direct,2000,5.9978070150076865,0.08703273062987738,0.0,226.0,True,True
9105,scratch_mlp,500,1.8954496777510361,0.07671709517837236,0.3974882859322218,226.0,False,False
9105,scratch_mlp,2000,2.1439878181480077,0.04808084239130435,0.25775035414623515,226.0,False,False
9105,xgb_direct,500,2.163681756993311,0.0329744983277592,0.32736733137190804,226.0,False,False
9105,xgb_direct,2000,2.139380173725027,0.025449414715719064,0.3043478260869565,226.0,False,False
9106,lgbm_direct,500,2.955166847497838,0.034472311985898944,0.1111111111111111,46.0,True,True
9106,lgbm_direct,2000,2.645701413211112,0.01796875,0.12698412698412698,46.0,True,True
