q_log10,rmse_log,coverage_event_equal,p_false_safe,p_false_safe_u95,beta_fs_cons,p_false_unsafe,conditional_miss_event_mean,conditional_miss_pooled,n_unsafe_rows,n_events_with_unsafe,n_test_rows,n_test_events,partition_seed,rep,N,model,alpha
0.4200100402362428,0.43993306374566116,0.7781646286231885,0.00026041666666666666,0.00078125,3.162817965621285,0.15101336050724637,0.037037037037037035,0.021739130434782608,92,3,2992,8,20260613,0,500,ridge_direct,0.025
0.21116615571689934,0.17113880631898556,0.7897794178194993,0.0026607789855072465,0.0051177536231884055,2.567769903141709,0.018285778985507244,0.1651713825626869,0.15217391304347827,92,3,2992,8,20260613,0,500,lgbm_direct,0.025
0.16680579759506964,0.16868662019366018,0.6743685153162056,0.007608695652173913,0.015104166666666667,2.1673479440611363,0.014498414855072464,0.5532551184725097,0.5652173913043478,92,3,2992,8,20260613,0,500,xgb_direct,0.025
0.459573948262225,1.163367434604361,0.759280817687747,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.06782721920289855,0.3333333333333333,0.5,92,3,2992,8,20260613,0,500,scratch_mlp,0.025
0.42200273589816417,0.44541707966270455,0.7647377305665349,0.00026041666666666666,0.00078125,3.162817965621285,0.14525022644927538,0.037037037037037035,0.021739130434782608,92,3,2992,8,20260613,0,2000,ridge_direct,0.025
0.17893163974681725,0.1588765405711675,0.7079751317523056,0.0031816123188405797,0.0068274456521739135,2.466216132873175,0.019485960144927535,0.14906832298136646,0.1956521739130435,92,3,2992,8,20260613,0,2000,lgbm_direct,0.025
0.16410456829159736,0.15873952556191517,0.6857614871541502,0.0024003623188405794,0.004857336956521739,2.585823227605269,0.020267210144927536,0.17322291235334716,0.13043478260869565,92,3,2992,8,20260613,0,2000,xgb_direct,0.025
0.32164486152065797,0.44981924971342313,0.8238950304677206,0.005208333333333333,0.015625,2.1538746940614555,0.05724637681159421,0.2898550724637681,0.43478260869565216,92,3,2992,8,20260613,0,2000,scratch_mlp,0.025
0.4207707595332679,0.4491123349295248,0.7683948863636364,0.00026041666666666666,0.00078125,3.162817965621285,0.14454257246376812,0.037037037037037035,0.021739130434782608,92,3,2992,8,20260613,1,500,ridge_direct,0.025
0.3232147712417377,0.16854268807438946,0.9481215003293808,0.0010416666666666667,0.0023437500000000003,2.8277595484479914,0.04585597826086957,0.08051529790660225,0.08695652173913043,92,3,2992,8,20260613,1,500,lgbm_direct,0.025
0.28110228491366573,0.17702932135273294,0.90253262928195,0.0015624999999999999,0.00390625,2.6600674686174592,0.03697916666666667,0.10950080515297907,0.13043478260869565,92,3,2992,8,20260613,1,500,xgb_direct,0.025
0.4513955995567831,0.90773123490425,0.7981184123847167,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.07075407608695652,0.3333333333333333,0.5,92,3,2992,8,20260613,1,500,scratch_mlp,0.025
0.46049389635503557,0.44620434508332,0.7907552083333333,0.0,0.0,5.9978070150076865,0.16602694746376812,0.0,0.0,92,3,2992,8,20260613,1,2000,ridge_direct,0.025
0.21595417892398094,0.15872308822745274,0.8161839179841897,0.0005208333333333333,0.0015625,2.955166847497838,0.028770380434782607,0.028985507246376812,0.043478260869565216,92,3,2992,8,20260613,1,2000,lgbm_direct,0.025
0.16441629551757408,0.16212246723613297,0.6790663084650856,0.00078125,0.0015625,2.955166847497838,0.018359375,0.06602254428341385,0.06521739130434782,92,3,2992,8,20260613,1,2000,xgb_direct,0.025
0.36511481037348137,0.4668331567401005,0.8428966979578392,0.0061197916666666675,0.017968750000000002,2.0976338780909223,0.0512794384057971,0.35185185185185186,0.5108695652173914,92,3,2992,8,20260613,1,2000,scratch_mlp,0.025
0.4492650651951773,0.3762143648121522,0.7862715126811595,0.0,0.0,5.9978070150076865,0.13385416666666666,0.0,0.0,92,3,2992,8,20260613,2,500,ridge_direct,0.025
0.2517796263941974,0.15709614474243008,0.8923527050395257,0.0024003623188405794,0.004857336956521739,2.585823227605269,0.022146739130434783,0.12813434552564987,0.13043478260869565,92,3,2992,8,20260613,2,500,lgbm_direct,0.025
0.2177435873533189,0.15958999123889162,0.8480036437747036,0.003125,0.007031249999999999,2.455662903635565,0.018704710144927535,0.24154589371980675,0.2608695652173913,92,3,2992,8,20260613,2,500,xgb_direct,0.025
0.4602293505052546,0.8422673800492516,0.7966567852437417,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.06707427536231884,0.3333333333333333,0.5,92,3,2992,8,20260613,2,500,scratch_mlp,0.025
0.41296892043639,0.49982619285308205,0.6793678977272727,0.00026041666666666666,0.00078125,3.162817965621285,0.15879189311594202,0.037037037037037035,0.021739130434782608,92,3,2992,8,20260613,2,2000,ridge_direct,0.025
0.18092441219009148,0.16305860947553244,0.6978296895586298,0.0031816123188405797,0.006795176630434781,2.467912507693131,0.022203351449275363,0.14906832298136646,0.1956521739130435,92,3,2992,8,20260613,2,2000,lgbm_direct,0.025
0.17232137618909338,0.16372588556093098,0.6984956562911726,0.0024003623188405794,0.004800724637681159,2.5898617154272565,0.023562047101449275,0.12813434552564987,0.13043478260869565,92,3,2992,8,20260613,2,2000,xgb_direct,0.025
0.31638425008637183,0.4254909169891912,0.8013036273056653,0.00625,0.017968750000000002,2.0976338780909223,0.04099864130434783,0.3703703703703704,0.5217391304347826,92,3,2992,8,20260613,2,2000,scratch_mlp,0.025
0.44006180079590784,0.3770341235291322,0.7943063446969697,0.0,0.0,5.9978070150076865,0.1380548007246377,0.0,0.0,92,3,2992,8,20260613,3,500,ridge_direct,0.025
0.2438119917136108,0.16254070920380473,0.8587033720355731,0.00390625,0.011197916666666667,2.28358668005628,0.026019021739130437,0.23993558776167476,0.32608695652173914,92,3,2992,8,20260613,3,500,lgbm_direct,0.025
0.20901760273525483,0.1619789783762383,0.8020740694993413,0.00552536231884058,0.011514945652173914,2.2729384170207,0.017606431159420288,0.347135955831608,0.391304347826087,92,3,2992,8,20260613,3,500,xgb_direct,0.025
0.44045944185475405,0.866350905613366,0.7780421401515152,0.005989583333333334,0.017968750000000002,2.0976338780909223,0.08125,0.3333333333333333,0.5,92,3,2992,8,20260613,3,500,scratch_mlp,0.025
0.43296029327981644,0.44682177962455844,0.7700875946969696,0.0,0.0,5.9978070150076865,0.15267776268115943,0.0,0.0,92,3,2992,8,20260613,3,2000,ridge_direct,0.025
0.19651939537095275,0.15579083880797218,0.7454365324440053,0.0029211956521739127,0.005581974637681159,2.5375246907939957,0.020267210144927536,0.1571198527720267,0.17391304347826086,92,3,2992,8,20260613,3,2000,lgbm_direct,0.025
0.16768087569651158,0.15607733162397947,0.6952280961791831,0.0015624999999999999,0.00390625,2.6600674686174592,0.0189651268115942,0.10950080515297907,0.13043478260869565,92,3,2992,8,20260613,3,2000,xgb_direct,0.025
0.3029050807947782,0.622516520415345,0.7741744894598155,0.005989583333333334,0.017578125,2.1065540881628135,0.029008152173913046,0.3446054750402576,0.5,92,3,2992,8,20260613,3,2000,scratch_mlp,0.025
0.5207980786416484,0.5589711004935912,0.8246330492424243,0.0,0.0,5.9978070150076865,0.22792685688405795,0.0,0.0,92,3,2992,8,20260613,4,500,ridge_direct,0.025
0.224301928717622,0.16525963168292485,0.8513077445652174,0.0020097373188405795,0.004670516304347826,2.599313849358932,0.028357110507246378,0.08385093167701863,0.09782608695652174,92,3,2992,8,20260613,4,500,lgbm_direct,0.025
0.22836765552398974,0.16323113191961514,0.8867413949275362,0.0022701539855072466,0.004336503623188406,2.6246814282441266,0.025696331521739134,0.12088796871405566,0.11956521739130435,92,3,2992,8,20260613,4,500,xgb_direct,0.025
0.6687054674411064,1.0979672701408714,0.8375900650527008,0.006329257246376812,0.017968750000000002,2.0976338780909223,0.10017549818840579,0.3452380952380953,0.5108695652173914,92,3,2992,8,20260613,4,500,scratch_mlp,0.025
0.4718864057059502,0.44394379069196827,0.8203835227272727,0.0,0.0,5.9978070150076865,0.16766870471014494,0.0,0.0,92,3,2992,8,20260613,4,2000,ridge_direct,0.025
0.1906345271151233,0.15260465884102223,0.7507411067193676,0.0024003623188405794,0.004800724637681159,2.5898617154272565,0.025067934782608697,0.12813434552564987,0.13043478260869565,92,3,2992,8,20260613,4,2000,lgbm_direct,0.025
0.15703780558148672,0.15789380192808578,0.6737097537878789,0.0010416666666666667,0.0023437500000000003,2.8277595484479914,0.019429347826086955,0.08051529790660225,0.08695652173913043,92,3,2992,8,20260613,4,2000,xgb_direct,0.025
0.3137207892462568,0.5337134242027297,0.793159687911726,0.005859375,0.017578125,2.1065540881628135,0.04372735507246377,0.32608695652173914,0.4891304347826087,92,3,2992,8,20260613,4,2000,scratch_mlp,0.025
0.3496703338820808,1.3882939293095302,0.7887163097319347,0.007091346153846154,0.015685096153846154,2.152344996954145,0.08477564102564103,0.24043615984405456,0.20512820512820512,234,3,3616,8,9100,0,500,ridge_direct,0.025
0.22014830563482923,0.1881246252047817,0.7239124417249417,0.0014423076923076924,0.0027644230769230766,2.774489248447586,0.056650641025641026,0.07267300194931774,0.042735042735042736,234,3,3616,8,9100,0,500,lgbm_direct,0.025
0.21028218254421605,0.1839547679482537,0.7174167759324009,0.00436698717948718,0.011919070512820512,2.2597279415814806,0.04530248397435897,0.1954800194931774,0.14102564102564102,234,3,3616,8,9100,0,500,xgb_direct,0.025
0.3483664478665318,2.4638641444384275,0.8246152025058275,0.018509615384615385,0.04094551282051282,1.739817744641496,0.08976562499999999,0.4144736842105263,0.47863247863247865,234,3,3616,8,9100,0,500,scratch_mlp,0.025
0.34805780369524353,1.6028013632109008,0.8148452068764569,0.010396634615384617,0.020793269230769233,2.0376341068100503,0.07998798076923078,0.2878289473684211,0.2905982905982906,234,3,3616,8,9100,0,2000,ridge_direct,0.025
0.15175638677188452,0.17267461360633468,0.6187268720862471,0.0038261217948717947,0.0076602564102564025,2.4247125316917315,0.023197115384615385,0.12146686159844054,0.10256410256410256,234,3,3616,8,9100,0,2000,lgbm_direct,0.025
0.12449924413941282,0.1739015325139528,0.4788104603729604,0.005909455128205128,0.011661658653846151,2.268096637007063,0.016065705128205127,0.20480019493177384,0.17094017094017094,234,3,3616,8,9100,0,2000,xgb_direct,0.025
0.27879927365784196,2.1794329599902893,0.806294981060606,0.016506410256410257,0.033012820512820513,1.8382495525537106,0.04605368589743589,0.3925438596491228,0.4358974358974359,234,3,3616,8,9100,0,2000,scratch_mlp,0.025
0.39200529770871695,1.8037438003217503,0.851580710955711,0.010136217948717947,0.02159455128205128,2.0218765921096287,0.08739983974358975,0.2774122807017544,0.28205128205128205,234,3,3616,8,9100,1,500,ridge_direct,0.025
0.24140690890292094,0.2001174858781615,0.8076983173076924,0.0069511217948717945,0.01390224358974359,2.200033938901198,0.052433894230769225,0.14418859649122806,0.1752136752136752,234,3,3616,8,9100,1,500,lgbm_direct,0.025
0.20518148886218102,0.1852456580829197,0.7835318327505827,0.008814102564102564,0.019230769230769232,2.069901830895051,0.03856169871794872,0.24780701754385967,0.24786324786324787,234,3,3616,8,9100,1,500,xgb_direct,0.025
0.4199674099126973,2.250460324880149,0.8505355842074592,0.01537459935897436,0.03180088141025641,1.8549612324303946,0.08005208333333333,0.37637061403508776,0.41025641025641024,234,3,3616,8,9100,1,500,scratch_mlp,0.025
0.34134143945190987,1.4379908447895844,0.8090441069347318,0.008403445512820512,0.016796875,2.1249144740407155,0.07450921474358974,0.2812804580896686,0.24358974358974358,234,3,3616,8,9100,1,2000,ridge_direct,0.025
0.16551277368537276,0.17378866416322353,0.6637387092074591,0.004086538461538461,0.008253205128205127,2.397521544076718,0.02686298076923077,0.10526315789473684,0.1111111111111111,234,3,3616,8,9100,1,2000,lgbm_direct,0.025
0.14239089750733047,0.17085463164696163,0.5571960591491841,0.00436698717948718,0.009054487179487179,2.363382373047712,0.024479166666666666,0.09320175438596491,0.1111111111111111,234,3,3616,8,9100,1,2000,xgb_direct,0.025
0.26080193692378284,0.7973947708290078,0.7924340763403264,0.019981971153846152,0.04562299679487179,1.6888614019540233,0.030899439102564104,0.42680921052631576,0.5085470085470085,234,3,3616,8,9100,1,2000,scratch_mlp,0.025
0.34985622986501186,1.8140294183575212,0.8246714743589744,0.012119391025641026,0.02514022435897436,1.9575703553732946,0.08049879807692308,0.3218201754385965,0.3333333333333333,234,3,3616,8,9100,2,500,ridge_direct,0.025
0.27040830260375026,0.1940906092502964,0.8420835154428904,0.003966346153846154,0.008653846153846154,2.380105282152528,0.0522636217948718,0.08881578947368422,0.10256410256410256,234,3,3616,8,9100,2,500,lgbm_direct,0.025
0.2859523327067044,0.18382034204166658,0.8677873688811188,0.0019631410256410256,0.004687500000000001,2.5980677307623012,0.05506810897435897,0.0668859649122807,0.05982905982905983,234,3,3616,8,9100,2,500,xgb_direct,0.025
0.37494960919028086,2.750277510403021,0.8433145760489511,0.029447115384615384,0.06631610576923078,1.5038025611827093,0.060807291666666666,0.5626522904483431,0.717948717948718,234,3,3616,8,9100,2,500,scratch_mlp,0.025
0.35216628990280574,1.4448083328947763,0.8083531832750582,0.007231570512820513,0.016085737179487178,2.1422735699916986,0.0866786858974359,0.20778508771929824,0.20512820512820512,234,3,3616,8,9100,2,2000,ridge_direct,0.025
0.14056925557206457,0.1763361457832932,0.5199730477855478,0.00829326923076923,0.01688701923076923,2.122759163226489,0.02015224358974359,0.2535940545808967,0.23076923076923078,234,3,3616,8,9100,2,2000,lgbm_direct,0.025
0.12487666162755318,0.17742950178989417,0.49488782051282054,0.009334935897435897,0.02001201923076923,2.05350073568871,0.01842948717948718,0.29526072124756336,0.26495726495726496,234,3,3616,8,9100,2,2000,xgb_direct,0.025
