model,N,threshold_idr,guarded_pass_fraction,beta_median,cond_median,unsafe_rows_median,events_with_unsafe_median
lgbm_direct,500,0.005,0.5833333333333334,2.602378399618959,0.03530773420479302,626.0,3.0
lgbm_direct,500,0.01,0.25,2.206590518000506,0.2838044357951037,221.0,3.0
lgbm_direct,500,0.02,0.375,1.9166024106084936,1.0,48.0,2.0
lgbm_direct,2000,0.005,0.2857142857142857,2.2495241727430235,0.06053921568627452,582.0,3.0
lgbm_direct,2000,0.01,0.14285714285714285,2.074630066422326,0.3381642512077294,216.0,3.0
lgbm_direct,2000,0.02,0.42857142857142855,1.9984021667696685,1.0,46.0,1.0
ridge_direct,500,0.005,0.25,1.5916990975217655,0.188287434539033,626.0,3.0
ridge_direct,500,0.01,0.3333333333333333,1.9394251838264296,0.27035361842105265,221.0,3.0
ridge_direct,500,0.02,0.4583333333333333,2.4040134247766884,0.7336956521739131,48.0,2.0
ridge_direct,2000,0.005,0.2857142857142857,1.618900143537359,0.19810087078309585,582.0,3.0
ridge_direct,2000,0.01,0.38095238095238093,2.063527898316244,0.2911184210526316,216.0,3.0
ridge_direct,2000,0.02,0.5238095238095238,3.162817965621285,0.717391304347826,46.0,1.0
scratch_mlp,500,0.005,0.041666666666666664,1.2493582449795717,0.4237832633053221,626.0,3.0
scratch_mlp,500,0.01,0.08333333333333333,1.6081383710334436,0.5397782651072125,221.0,3.0
scratch_mlp,500,0.02,0.375,2.0096225395640577,0.9347826086956521,48.0,2.0
scratch_mlp,2000,0.005,0.09523809523809523,1.5523260028557107,0.37224264705882354,582.0,3.0
scratch_mlp,2000,0.01,0.09523809523809523,2.001415797523849,0.5,216.0,3.0
scratch_mlp,2000,0.02,0.42857142857142855,2.2022984903440666,0.9456521739130435,46.0,1.0
xgb_direct,500,0.005,0.25,2.371801052990375,0.06233127308894572,626.0,3.0
xgb_direct,500,0.01,0.16666666666666666,2.1225523120624343,0.3347362972649014,221.0,3.0
xgb_direct,500,0.02,0.375,1.9166024106084936,1.0,48.0,2.0
xgb_direct,2000,0.005,0.23809523809523808,2.348876956068466,0.06862745098039215,582.0,3.0
xgb_direct,2000,0.01,0.19047619047619047,2.072194752331937,0.3330896686159844,216.0,3.0
xgb_direct,2000,0.02,0.42857142857142855,1.9984021667696685,1.0,46.0,1.0
