analysis,model,model_label,target_label_budget,interval_level,beta_false_safe_cons_median,beta_false_safe_cons_p05,beta_false_safe_cons_p95,p_false_safe_median,p_false_safe_p05,p_false_safe_p95,p_false_unsafe_median,p_false_unsafe_p05,p_false_unsafe_p95,rmse_log_median,rmse_log_p05,rmse_log_p95,q_value_log_median,q_value_log_p05,q_value_log_p95,replicate_count,gate
true event-disjoint target-label budget,scratch_mlp,MLP scratch,100,0.9,2.096165548255051,2.0177804380540376,2.0976338780909227,0.006224524456521739,0.005989583333333334,0.010914572010869565,0.10472918725296443,0.07391304347826087,0.3874206398221341,1.6772125499521442,0.8474745801351315,2.4826776898059753,0.5639865899507248,0.44568093232731093,1.0267235032378128,10,Fail
true event-disjoint target-label budget,scratch_mlp,MLP scratch,250,0.9,2.0976338780909227,2.034821219895799,2.0976338780909227,0.006394361413043479,0.006048177083333334,0.009628340126811593,0.07197407155797102,0.05163637907608695,0.09939028532608694,1.3388562283650134,0.8270603918824426,1.663265377346465,0.399745014806437,0.331073180175023,0.4792075522475952,10,Fail
true event-disjoint target-label budget,scratch_mlp,MLP scratch,500,0.9,2.0976338780909227,2.096088733428875,2.1075400698498212,0.006184895833333334,0.0059179687500000005,0.0072862884963768105,0.04980751811594203,0.04471099411231884,0.06338796422101449,1.075908326394965,0.730133526269313,1.2736411812252766,0.30893017703059605,0.25781527425893824,0.35896220308711574,10,Fail
true event-disjoint target-label budget,scratch_mlp,MLP scratch,1000,0.9,2.0976338780909227,2.0908061589819864,2.0976338780909227,0.006380208333333334,0.006106770833333334,0.006898777173913044,0.03462692481884058,0.03040223052536232,0.039374433876811596,0.7879197362606953,0.4878734432078622,0.9711373946258539,0.25654721583933354,0.2382597821849114,0.2732195195426736,10,Fail
true event-disjoint target-label budget,scratch_mlp,MLP scratch,2000,0.9,2.0976338780909227,2.0827862545225493,2.0976338780909227,0.006354732789855073,0.005989583333333334,0.007529721467391304,0.026347373188405798,0.020468183876811596,0.04013360507246375,0.643016721097232,0.28238308083264935,0.971598195793361,0.23070379443120975,0.21230682236490547,0.24084007698663534,10,Fail
true event-disjoint target-label budget,xgb_direct,XGB direct,50,0.9,2.3526893261964856,2.0565642510044637,4.500953337170174,0.0038043478260869562,0.0005859375,0.010065670289855073,0.050093410326086954,0.013790760869565218,0.08532665307971012,0.2877342800122047,0.24114642896831184,0.42801258229751216,0.3816430439088808,0.2727229073344415,0.5119509810083039,10,Fail
true event-disjoint target-label budget,xgb_direct,XGB direct,100,0.9,2.3214699699285064,2.0524076391177393,4.584335920770909,0.0038298233695652174,0.0004228940217391304,0.010035665760869564,0.03626302083333333,0.016923120471014495,0.06126245471014492,0.23816891895541184,0.19225918416283078,0.2723977436518619,0.2963318490810656,0.21073063721956914,0.3721419085488714,10,Fail
true event-disjoint target-label budget,xgb_direct,XGB direct,250,0.9,2.3790651448825324,2.0867509459694364,2.658664108564133,0.00393455615942029,0.0015559895833333333,0.008246433423913041,0.022789288949275364,0.015129359148550724,0.030680480072463767,0.18047162702879244,0.16838950364383357,0.2102588403218576,0.20276406171382885,0.17044395387750277,0.2556715692570208,10,Fail
true event-disjoint target-label budget,xgb_direct,XGB direct,500,0.9,2.3683191554214793,2.292200598548239,2.6542764019949496,0.00435348731884058,0.002147871376811594,0.005336560235507246,0.019044384057971014,0.012681159420289854,0.03186367753623188,0.1699849538139387,0.15447893929165846,0.18125255287923833,0.16399753554303387,0.1450651828902081,0.18968578046947174,10,Fail
true event-disjoint target-label budget,xgb_direct,XGB direct,1000,0.9,2.3281358482063395,2.2798429147876527,2.554305783222501,0.005004528985507246,0.0029211956521739127,0.005987601902173913,0.014526721014492754,0.010884284420289854,0.018828691123188402,0.1588817069340953,0.15186948233877148,0.1620844600209752,0.12162880978329775,0.11322224307648218,0.1372429352849612,10,Fail
true event-disjoint target-label budget,xgb_direct,XGB direct,2000,0.9,2.3468637205207106,2.2446996370830905,2.4632419045432896,0.005004528985507246,0.0037935914855072466,0.006619112318840579,0.01358695652173913,0.010122282608695653,0.015070199275362317,0.15762701796162742,0.15372953596139433,0.1630661405477,0.10643230492767715,0.09954645217356929,0.11423876093133153,10,Fail
