p_false_safe,p_false_safe_upper95,beta_false_safe,beta_false_safe_cons,p_false_unsafe,p_false_unsafe_upper95,rmse_log,q_value_log,event_count,test_rows,analysis,model,model_label,target_label_budget,rep,interval_level
0.0,0.0,5.9978070150076865,5.9978070150076865,0.9821557971014493,0.99765625,0.515940910974269,0.9897354825038348,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,0,0.9
0.017844202898550723,0.03452219202898551,2.1004598857552628,1.8181292255800505,0.0,0.0,0.4552103715882173,0.893683839386024,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,1,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.9821557971014493,0.99765625,0.49130563651598697,0.825750512909641,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,2,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.9821557971014493,0.99765625,0.4638261102557848,0.9072557333817984,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,3,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.9821557971014493,0.99765625,0.5059204269416597,0.9486320067342406,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,4,0.9
0.017844202898550723,0.03568840579710145,2.1004598857552628,1.8030726130800334,0.0,0.0,0.45287400762217156,0.599665822632589,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,5,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.9821557971014493,0.99765625,0.4858236334972353,0.8209818092015535,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,6,0.9
0.017844202898550723,0.03346920289855072,2.1004598857552628,1.832087362975757,0.0,0.0,0.4651240032231785,0.6502341365578226,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,7,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.9821557971014493,0.99765625,0.4689747633560982,1.0209437746451728,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,8,0.9
0.017844202898550723,0.0345114356884058,2.1004598857552628,1.8182700281751916,0.0,0.0,0.45679862257594855,0.5957471359068687,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,50,9,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.09418025362318841,0.20545742753623192,0.25858339802414815,0.4003205261502374,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,0,0.9
0.00026041666666666666,0.00078125,3.46980655516156,3.1628179656212856,0.07189764492753623,0.16230751811594205,0.26107688009173,0.4595014477435919,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,1,0.9
0.004121376811594203,0.008288043478260869,2.641961042970127,2.3959779611889584,0.05486865942028985,0.11877660778985506,0.315923614579899,0.4674338877827897,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,2,0.9
0.0005208333333333333,0.0010416666666666667,3.279024297718005,3.078088072842176,0.0672554347826087,0.1554121376811594,0.23324984506303703,0.3890878040703818,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,3,0.9
0.0,0.0,5.9978070150076865,5.9978070150076865,0.07994791666666667,0.19010416666666666,0.2598363330339349,0.3887476187100853,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,4,0.9
0.00026041666666666666,0.00078125,3.46980655516156,3.1628179656212856,0.13078577898550725,0.24183650362318843,0.2858148954311181,0.4502954271819388,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,5,0.9
0.00026041666666666666,0.00078125,3.46980655516156,3.1628179656212856,0.07609827898550725,0.15903136322463743,0.2603833277174673,0.3287742898215944,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,6,0.9
0.00026041666666666666,0.00078125,3.46980655516156,3.1628179656212856,0.07906476449275363,0.1774213088768116,0.25587420786659953,0.3859034456031671,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,7,0.9
0.00026041666666666666,0.00078125,3.46980655516156,3.1628179656212856,0.08874547101449276,0.1902468297101449,0.2744624697972091,0.4002788566130331,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,8,0.9
0.0005208333333333333,0.0010416666666666667,3.279024297718005,3.078088072842176,0.06705163043478261,0.1631340579710145,0.3312390487547971,0.4557929539641177,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,100,9,0.9
0.0015624999999999999,0.00390625,2.9551668474978383,2.6600674686174592,0.013609601449275362,0.03822463768115942,0.18976249108982227,0.1969585307931463,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,0,0.9
0.005989583333333333,0.017187499999999998,2.512757441545635,2.1156451358343746,0.022622282608695653,0.06317934782608696,0.18031840022183432,0.1929966118023465,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,1,0.9
0.0018229166666666667,0.004687500000000001,2.9072828844443226,2.5980677307623012,0.029013813405797104,0.07415081521739131,0.19797562482338427,0.2712909809500976,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,2,0.9
0.0031249999999999997,0.008593749999999999,2.734368786533181,2.3826720148424148,0.04248754528985507,0.10649909420289855,0.2217872203248149,0.2622454421150728,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,3,0.9
0.005706521739130435,0.01328125,2.5297911643150943,2.217887558835681,0.014945652173913044,0.044836956521739135,0.17681316085926066,0.2064211339375439,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,4,0.9
0.00078125,0.0023437500000000003,3.1628179656212856,2.8277595484479914,0.040160778985507246,0.09938858695652174,0.17783653325587262,0.2442588575571886,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,5,0.9
0.0015624999999999999,0.00390625,2.9551668474978383,2.6600674686174592,0.04135529891304348,0.09789402173913044,0.19975814341166032,0.235530484924699,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,6,0.9
0.0036458333333333334,0.01015625,2.6832215546893976,2.3205248912297582,0.01634963768115942,0.04279891304347826,0.17662251297049741,0.211194395989724,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,7,0.9
0.00078125,0.0023437500000000003,3.1628179656212856,2.8277595484479914,0.040364583333333336,0.09479166666666666,0.17289285869473622,0.2340168743469433,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,8,0.9
0.0030230978260869564,0.0067708333333333336,2.745265523225929,2.469196944912769,0.021988224637681162,0.05606884057971015,0.18568786923374242,0.21611348405226,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,250,9,0.9
0.003702445652173913,0.006623641304347826,2.678064700206476,2.4770513908386156,0.02006340579710145,0.05758605072463768,0.16004993259314537,0.1639408058338665,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,0,0.9
0.0006793478260869565,0.0020380434782608695,3.203284752357333,2.872212562724687,0.02772871376811594,0.06599864130434782,0.1725069378901144,0.1876636789386028,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,1,0.9
0.0015624999999999999,0.00390625,2.9551668474978383,2.6600674686174592,0.02042572463768116,0.05502717391304349,0.1615251004533467,0.1817308549313359,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,2,0.9
0.00078125,0.0018229166666666667,3.1628179656212856,2.9072828844443226,0.028192934782608696,0.06192255434782609,0.17334281554570477,0.1821602391040557,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,3,0.9
0.0031249999999999997,0.008593749999999999,2.734368786533181,2.3826720148424148,0.01436820652173913,0.04076086956521739,0.1587778063210649,0.1809025616511301,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,4,0.9
0.0029211956521739127,0.005581974637681159,2.756498318773658,2.537524690793996,0.020635190217391304,0.05604619565217391,0.17099197250695217,0.1709768935707361,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,5,0.9
0.0036458333333333334,0.01015625,2.6832215546893976,2.3205248912297582,0.018704710144927535,0.05298913043478261,0.1708259209634179,0.1975058090968988,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,6,0.9
0.0024003623188405794,0.004857336956521739,2.8201096212881036,2.5858232276052693,0.020974864130434784,0.05706521739130435,0.17236038496002318,0.1578989720448396,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,7,0.9
0.004166666666666667,0.01015625,2.63825727347675,2.3205248912297582,0.022146739130434783,0.05706521739130435,0.1701110839023156,0.1830216482188089,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,8,0.9
0.0018795289855072462,0.004279891304347826,2.8977034857762938,2.6291530539845858,0.0317481884057971,0.07418987771739127,0.16900789954371845,0.1723636036324625,8,2992,true event-disjoint target-label budget,lgbm_direct,LGBM direct,500,9,0.9
