p_false_safe,p_false_safe_upper95,beta_false_safe,beta_false_safe_cons,p_false_unsafe,p_false_unsafe_upper95,rmse_log,q_value_log,event_count,test_rows,analysis,model,model_label,target_label_budget,rep,interval_level,calibration_residuals
0.00552536231884058,0.010938632246376812,2.541090705951305,2.2924920722715467,0.011390398550724637,0.03260869565217391,0.16362907182369374,0.1256243677588204,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,0,0.9,1000
0.004483695652173913,0.00859375,2.61329480761767,2.3826720148424148,0.014628623188405796,0.04076086956521739,0.16362907182369374,0.1573696077360669,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,0,0.95,1000
0.0015625,0.004687500000000001,2.9551668474978383,2.5980677307623012,0.027468297101449275,0.06547780797101449,0.16362907182369374,0.1831399903468389,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,0,0.975,1000
0.006046195652173913,0.011514945652173914,2.5094366220887965,2.2729384170207,0.010869565217391304,0.03260869565217391,0.1576080575921584,0.1201903883689987,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,1,0.9,1000
0.005004528985507246,0.010677083333333334,2.5755162164077516,2.3016633126601675,0.014945652173913044,0.044836956521739135,0.1576080575921584,0.1445086663784591,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,1,0.95,1000
0.00396286231884058,0.008076879528985503,2.655217676011932,2.4054229252958077,0.01682518115942029,0.048913043478260865,0.1576080575921584,0.1679183891443254,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,1,0.975,1000
0.00396286231884058,0.007461503623188405,2.655217676011932,2.43424216822447,0.012228260869565218,0.036684782608695655,0.15768568746609413,0.1218818988019556,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,2,0.9,1000
0.00396286231884058,0.0076086956521739125,2.655217676011932,2.427163616442105,0.01358695652173913,0.04076086956521739,0.15768568746609413,0.1463569646083629,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,2,0.95,1000
0.0015625,0.004687500000000001,2.9551668474978383,2.5980677307623012,0.020267210144927536,0.053249547101449274,0.15768568746609413,0.1712794785894953,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,2,0.975,1000
0.00396286231884058,0.0076086956521739125,2.655217676011932,2.427163616442105,0.014945652173913044,0.044836956521739135,0.1454034936365664,0.1231358482735016,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,3,0.9,1000
0.0029211956521739127,0.00558197463768116,2.756498318773658,2.5375246907939957,0.016304347826086956,0.048913043478260865,0.1454034936365664,0.1473837702963831,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,3,0.95,1000
0.0024003623188405794,0.004857336956521739,2.8201096212881036,2.5858232276052693,0.017346014492753623,0.048913043478260865,0.1454034936365664,0.1800397219318728,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,3,0.975,1000
0.005004528985507246,0.009635416666666667,2.5755162164077516,2.34025003962409,0.012228260869565218,0.036684782608695655,0.16006865886275093,0.1235591914687064,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,4,0.9,1000
0.003311820652173913,0.006046195652173913,2.7151967178031295,2.5094366220887965,0.019038722826086957,0.051517210144927536,0.16006865886275093,0.168230897402795,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,4,0.95,1000
0.0024003623188405794,0.0051177536231884055,2.8201096212881036,2.567769903141709,0.02694746376811594,0.06547780797101449,0.16006865886275093,0.1910104318352239,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,4,0.975,1000
0.00474411231884058,0.008463541666666668,2.593942889326323,2.3882877355851475,0.012488677536231885,0.036684782608695655,0.1530210798559321,0.1216730819356697,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,5,0.9,1000
0.0030514039855072464,0.005638586956521739,2.74220586592347,2.5339906549195503,0.018183876811594203,0.05298913043478261,0.1530210798559321,0.153318206583517,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,5,0.95,1000
0.0024003623188405794,0.004857336956521739,2.8201096212881036,2.5858232276052693,0.0197463768115942,0.05350996376811594,0.1530210798559321,0.1794004888302485,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,5,0.975,1000
0.004483695652173913,0.008559782608695651,2.61329480761767,2.3841297496184906,0.012749094202898551,0.036684782608695655,0.155721000353206,0.1165243692414272,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,6,0.9,1000
0.00396286231884058,0.007291666666666667,2.655217676011932,2.4425642546059607,0.017866847826086957,0.048913043478260865,0.155721000353206,0.1386472266705498,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,6,0.95,1000
0.002604166666666667,0.00546875,2.7938580633153958,2.544689330620459,0.02162590579710145,0.05706521739130435,0.155721000353206,0.1691278077830134,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,6,0.975,1000
0.004483695652173913,0.008129528985507246,2.61329480761767,2.403047890720756,0.010869565217391304,0.03260869565217391,0.15242050081624944,0.1201466800009174,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,7,0.9,1000
0.00396286231884058,0.00714447463768116,2.655217676011932,2.449916131383403,0.012228260869565218,0.036684782608695655,0.15242050081624944,0.1437311417560456,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,7,0.95,1000
0.0034420289855072463,0.006216032608695652,2.7024014928479474,2.49963690754797,0.014628623188405796,0.04076086956521739,0.15242050081624944,0.1728861241822801,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,7,0.975,1000
0.005004528985507246,0.010009057971014493,2.5755162164077516,2.326008149291794,0.010869565217391304,0.03260869565217391,0.16192196421078794,0.1196457997306268,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,8,0.9,1000
0.004483695652173913,0.008389945652173913,2.61329480761767,2.3914954640297963,0.01358695652173913,0.04076086956521739,0.16192196421078794,0.1502609793339555,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,8,0.95,1000
0.002604166666666667,0.00546875,2.7938580633153958,2.544689330620459,0.01682518115942029,0.048913043478260865,0.16192196421078794,0.1749380656033792,8,2992,interval widening at N=2000,lgbm_direct,LGBM direct,2000,8,0.975,1000
